indicator,facility_id,state,year,quarter,month,facility_level,value,unit,cohort_direction
Linkage Proxy,FCT011,,2024,,,,0.95,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT012,,2024,,,,0.69,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT013,,2024,,,,0.75,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT014,,2024,,,,0.8,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT015,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD001,,2024,,,,0.69,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD002,,2024,,,,0.76,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD003,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD004,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD005,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD006,,2024,,,,0.94,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD007,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD008,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD009,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD010,,2024,,,,0.69,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD011,,2024,,,,0.79,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD012,,2024,,,,0.76,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD013,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD014,,2024,,,,0.76,Ratio(Per hts_tst_pos),
Linkage Proxy,KAD015,,2024,,,,0.75,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG001,,2024,,,,0.78,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG002,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG003,,2024,,,,0.63,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG004,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG005,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG006,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG007,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG008,,2024,,,,0.54,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG009,,2024,,,,0.79,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG010,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG011,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG012,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG013,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG014,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG015,,2024,,,,0.74,Ratio(Per hts_tst_pos),
Linkage Proxy,LAG099,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS001,,2024,,,,0.63,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS002,,2024,,,,0.61,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS003,,2024,,,,0.71,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS004,,2024,,,,0.7,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS005,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS006,,2024,,,,0.78,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS007,,2024,,,,0.9,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS008,,2024,,,,0.52,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS009,,2024,,,,0.74,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS010,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS011,,2024,,,,0.79,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS012,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS013,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS014,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS015,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,NAS999,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV001,,2024,,,,0.4,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV002,,2024,,,,0.83,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV003,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV004,,2024,,,,0.83,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV005,,2024,,,,0.72,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV006,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV007,,2024,,,,0.69,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV008,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV009,,2024,,,,0.65,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV010,,2024,,,,0.74,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV011,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV012,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV013,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV014,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,RIV015,,2024,,,,0.83,Ratio(Per hts_tst_pos),
Linkage Proxy,TMP001,,2024,,,,0.88,Ratio(Per hts_tst_pos),
Linkage Proxy,XXX999,,2024,,,,0.86,Ratio(Per hts_tst_pos),
PMTCT ART Coverage,AKS001,AKWA IBOM,,,,,30.43,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS002,AKWA IBOM,,,,,8.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS003,AKWA IBOM,,,,,48.15,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS004,AKWA IBOM,,,,,40.54,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS005,AKWA IBOM,,,,,0.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS006,AKWA IBOM,,,,,58.82,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS007,AKWA IBOM,,,,,48.08,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS008,AKWA IBOM,,,,,14.29,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS009,AKWA IBOM,,,,,14.29,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS010,AKWA IBOM,,,,,46.81,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS011,AKWA IBOM,,,,,23.81,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS012,AKWA IBOM,,,,,72.67,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS013,AKWA IBOM,,,,,53.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS014,AKWA IBOM,,,,,32.14,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,AKS015,AKWA IBOM,,,,,73.17,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG099,AKWA IBOM,,,,,75.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,NAS999,AKWA IBOM,,,,,44.44,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,TMP001,AKWA IBOM,,,,,55.56,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,XXX999,AKWA IBOM,,,,,69.23,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN001,BENUE,,,,,32.35,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN002,BENUE,,,,,77.5,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN003,BENUE,,,,,60.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN004,BENUE,,,,,34.62,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN005,BENUE,,,,,51.02,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN006,BENUE,,,,,46.34,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN007,BENUE,,,,,9.52,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN008,BENUE,,,,,80.85,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN009,BENUE,,,,,40.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN010,BENUE,,,,,41.38,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN011,BENUE,,,,,39.47,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN012,BENUE,,,,,31.58,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN013,BENUE,,,,,68.47,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN014,BENUE,,,,,23.81,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,BEN015,BENUE,,,,,35.71,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG099,BENUE,,,,,33.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,NAS999,BENUE,,,,,45.45,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,TMP001,BENUE,,,,,50.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,XXX999,BENUE,,,,,77.78,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS001,CROSS RIVER,,,,,56.36,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS002,CROSS RIVER,,,,,42.42,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS003,CROSS RIVER,,,,,78.86,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS004,CROSS RIVER,,,,,32.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS005,CROSS RIVER,,,,,71.85,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS006,CROSS RIVER,,,,,63.1,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS007,CROSS RIVER,,,,,23.81,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS008,CROSS RIVER,,,,,68.97,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS009,CROSS RIVER,,,,,64.04,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS010,CROSS RIVER,,,,,0.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS011,CROSS RIVER,,,,,26.32,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS012,CROSS RIVER,,,,,33.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS013,CROSS RIVER,,,,,23.53,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS014,CROSS RIVER,,,,,36.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,CRS015,CROSS RIVER,,,,,0.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG099,CROSS RIVER,,,,,33.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,NAS999,CROSS RIVER,,,,,66.67,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,TMP001,CROSS RIVER,,,,,64.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,XXX999,CROSS RIVER,,,,,71.43,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT001,FCT,,,,,38.46,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT002,FCT,,,,,19.05,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT003,FCT,,,,,57.14,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT004,FCT,,,,,58.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT005,FCT,,,,,52.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT006,FCT,,,,,68.6,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT007,FCT,,,,,77.48,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT008,FCT,,,,,73.08,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT009,FCT,,,,,33.33,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT010,FCT,,,,,51.79,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT011,FCT,,,,,52.63,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT012,FCT,,,,,76.73,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT013,FCT,,,,,37.84,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT014,FCT,,,,,75.98,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,FCT015,FCT,,,,,25.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG099,FCT,,,,,55.56,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,NAS999,FCT,,,,,75.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,TMP001,FCT,,,,,80.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,XXX999,FCT,,,,,76.19,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD001,KADUNA,,,,,37.93,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD002,KADUNA,,,,,58.54,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD003,KADUNA,,,,,80.36,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD004,KADUNA,,,,,84.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD005,KADUNA,,,,,38.89,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD006,KADUNA,,,,,69.91,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD007,KADUNA,,,,,41.03,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD008,KADUNA,,,,,47.54,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD009,KADUNA,,,,,67.68,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD010,KADUNA,,,,,44.9,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD011,KADUNA,,,,,46.43,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD012,KADUNA,,,,,55.56,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD013,KADUNA,,,,,84.46,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD014,KADUNA,,,,,44.12,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,KAD015,KADUNA,,,,,34.38,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG099,KADUNA,,,,,69.57,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,NAS999,KADUNA,,,,,78.38,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,TMP001,KADUNA,,,,,71.43,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,XXX999,KADUNA,,,,,60.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG001,LAGOS,,,,,45.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG002,LAGOS,,,,,84.65,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG003,LAGOS,,,,,85.48,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG004,LAGOS,,,,,51.43,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG005,LAGOS,,,,,68.42,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG006,LAGOS,,,,,63.38,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG007,LAGOS,,,,,55.56,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG008,LAGOS,,,,,0.0,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG009,LAGOS,,,,,46.51,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG010,LAGOS,,,,,63.89,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG011,LAGOS,,,,,48.08,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG012,LAGOS,,,,,42.11,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG013,LAGOS,,,,,81.42,Percent(Per pmtct_stat_pos),
PMTCT ART Coverage,LAG014,LAGOS,,,,,31.58,Percent(Per pmtct_stat_pos),
