facility_id,facility_name,state,lga,facility_level,ownership,setting,art_start_date,catchment_population,latitude,longitude
KAD001,Model Primary Health Centre Kaduna North,Kaduna,Kaduna North,Primary,Public,Rural,2017-10-20,57099.0,8.59327,6.37145
KAD002,Teaching Hospital Kaduna South,Kaduna,Kaduna South,Tertiary,Public,Urban,2016-02-21,180787.0,6.94266,7.08074
KAD003,Mission Hospital Zaria,Kaduna,Zaria,Secondary,,Urban,2021-07-01,36521.0,4.62423,3.25122
KAD004,Specialist Hospital Sabon Gari,Kaduna,Sabon Gari,Tertiary,Private,Urban,2016-07-10,208408.0,9.88102,7.78361
KAD005,Cottage Hospital Chikun,Kaduna,Chikun,Secondary,Private,Rural,2013-04-23,71356.0,9.41969,3.85673
KAD006,Specialist Hospital Kaduna North II,Kaduna,Kaduna North,Tertiary,Public,,2012-01-15,230863.0,6.55341,8.57095
KAD007,Model Primary Health Centre Kaduna South II,Kaduna,Kaduna South,Primary,Faith-based,Rural,2014-01-24,181916.0,6.67932,5.65803
KAD008,Model Primary Health Centre Zaria II,Kaduna,Zaria,Primary,Faith-based,,2014-10-25,28178.0,10.19564,8.17672
KAD009,Model Primary Health Centre Sabon Gari II,Kaduna,Sabon Gari,Primary,Public,Urban,2020-11-30,114309.0,9.06308,3.94623
KAD010,Cottage Hospital Chikun II,Kaduna,Chikun,Secondary,Public,,2017-02-12,166545.0,7.23334,7.9995
KAD011,Primary Health Centre Kaduna North II,Kaduna,Kaduna North,Primary,,Rural,2019-01-11,122870.0,4.97027,7.87039
KAD012,Comprehensive Health Centre Kaduna South II,Kaduna,Kaduna South,Primary,Public,Rural,2017-11-11,212166.0,5.38754,9.30016
KAD013,Specialist Hospital Zaria II,Kaduna,Zaria,Tertiary,Public,Urban,2014-06-16,220914.0,5.96769,4.72278
KAD014,General Hospital Sabon Gari II,Kaduna,Sabon Gari,Secondary,Faith-based,Urban,2012-05-08,98934.0,8.02366,7.41814
KAD015,General Hospital Chikun II,Kaduna,Chikun,Secondary,Public,Urban,2013-06-25,70460.0,10.73494,5.31246
CRS001,Model Primary Health Centre Calabar Municipal,Cross River,Calabar Municipal,Primary,Public,,2021-04-28,130983.0,11.32347,7.13662
CRS002,Comprehensive Health Centre Ikom,Cross River,Ikom,Primary,Public,Rural,2017-12-09,157299.0,8.11427,3.4138
CRS003,Specialist Hospital Ogoja,Cross River,Ogoja,Tertiary,Public,Urban,2019-12-15,65099.0,10.19936,4.32597
CRS004,Comprehensive Health Centre Obudu,Cross River,Obudu,Primary,Private,Rural,2021-08-23,79986.0,8.29451,9.02428
CRS005,Teaching Hospital Akamkpa,Cross River,Akamkpa,Tertiary,Public,Rural,2018-04-13,60094.0,7.90998,4.22526
CRS006,Primary Health Centre Calabar Municipal II,Cross River,Calabar Municipal,Primary,Public,Rural,2020-03-08,195430.0,9.40478,3.56223
CRS007,Model Primary Health Centre Ikom II,Cross River,Ikom,Primary,Private,Urban,2020-12-22,65803.0,10.81306,9.02731
CRS008,Cottage Hospital Ogoja II,Cross River,Ogoja,Secondary,Public,Urban,2018-10-01,120537.0,7.02643,9.32698
CRS009,Comprehensive Health Centre Obudu II,Cross River,Obudu,Primary,Public,Rural,2022-03-22,116972.0,8.85534,9.13962
CRS010,Comprehensive Health Centre Akamkpa II,Cross River,Akamkpa,Primary,Public,Rural,2014-02-14,197851.0,10.363,6.09678
CRS011,Comprehensive Health Centre Calabar Municipal II,Cross River,Calabar Municipal,Primary,Private,Urban,2017-10-18,19792.0,10.75565,3.48566
CRS012,Model Primary Health Centre Ikom II,Cross River,Ikom,Primary,Public,Rural,2017-10-18,46195.0,5.01068,5.08764
CRS013,Mission Hospital Ogoja II,Cross River,Ogoja,Secondary,Private,Urban,2017-10-14,208259.0,11.30675,7.21003
CRS014,Comprehensive Health Centre Obudu II,Cross River,Obudu,Primary,Private,Urban,2018-08-05,155505.0,11.31909,9.02246
CRS015,Model Primary Health Centre Akamkpa II,Cross River,Akamkpa,Primary,Public,Rural,2013-04-28,46842.0,8.79828,6.99613
NAS001,Model Primary Health Centre Lafia,Nasarawa,Lafia,Primary,Public,Urban,2013-06-24,208581.0,6.0686,4.83814
NAS002,Cottage Hospital Karu,Nasarawa,Karu,Secondary,Public,Urban,2018-03-06,120131.0,6.95968,5.79894
NAS003,Cottage Hospital Keffi,Nasarawa,Keffi,Secondary,Private,Rural,2012-07-15,126933.0,5.21442,8.30679
NAS004,Cottage Hospital Akwanga,Nasarawa,Akwanga,Secondary,Public,Rural,2019-10-03,183829.0,9.21441,3.7317
NAS005,Mission Hospital Nasarawa,Nasarawa,Nasarawa,Secondary,Faith-based,Urban,2014-05-07,167496.0,9.77966,3.23616
NAS006,Primary Health Centre Lafia II,Nasarawa,Lafia,Primary,Faith-based,Urban,2022-01-16,199991.0,8.18424,5.4325
NAS007,General Hospital Karu II,Nasarawa,Karu,Secondary,Private,Urban,2014-08-25,197190.0,9.05993,7.19223
NAS008,Comprehensive Health Centre Keffi II,Nasarawa,Keffi,Primary,Public,Rural,2020-08-04,154491.0,7.26932,7.97063
NAS009,Cottage Hospital Akwanga II,Nasarawa,Akwanga,Secondary,Public,Rural,2018-03-08,222359.0,10.74116,9.22416
NAS010,Teaching Hospital Nasarawa II,Nasarawa,Nasarawa,Tertiary,Public,Rural,2014-01-01,203431.0,5.93734,6.38923
NAS011,Mission Hospital Lafia II,Nasarawa,Lafia,Secondary,Public,Urban,2021-10-12,203989.0,10.44085,4.05005
NAS012,Mission Hospital Karu II,Nasarawa,Karu,Secondary,Private,Urban,2018-06-04,84078.0,8.98272,7.57554
NAS013,General Hospital Keffi II,Nasarawa,Keffi,Secondary,Public,Rural,2021-11-01,173627.0,6.56181,7.5696
NAS014,Teaching Hospital Akwanga II,Nasarawa,Akwanga,Tertiary,Public,Rural,2012-11-18,210438.0,5.63161,5.01699
NAS015,Specialist Hospital Nasarawa II,Nasarawa,Nasarawa,Tertiary,Private,Urban,2013-05-08,196697.0,7.28363,5.03756
NEW001,Newly Activated Health Post Obudu,Cross River,Obudu,Primary,Private,Urban,2018-08-05,155505.0,11.31909,9.02246
NEW002,Newly Activated Health Post Calabar Municipal,Cross River,Calabar Municipal,Primary,Public,Rural,2020-03-08,195430.0,9.40478,3.56223
NEW003,Newly Activated Health Post Abak,Akwa Ibom,Abak,Primary,Public,Rural,2016-08-10,70260.0,6.37644,3.46073
NEW004,Newly Activated Health Post Karu,Nasarawa,Karu,Secondary,Private,Urban,2014-08-25,197190.0,9.05993,7.19223
NEW005,Newly Activated Health Post Ikom,Cross River,Ikom,Primary,Public,Rural,2017-10-18,46195.0,5.01068,5.08764
AKS011,Comprehensive Health Centre Etinan II,Akwa Ibom,Etinan,Primary,Private,Urban,2019-02-22,87342.0,6.43089,4.63373
