facility_id,facility_name,state,lga,report_month,year,month,quarter,hts_tst,hts_tst_pos,tx_new,tx_curr,tx_ml,pmtct_stat,pmtct_stat_pos,pmtct_art,tb_screen,tb_pos,vl_eligible,vl_result_received,vl_suppressed,date_submitted,reported_by
NAS004,COTTAGE HOSPITAL AKWANGA,NASARAWA,AKWANGA,2024-06-01,2024,6,2,382.0,16.0,15.0,567,3,120.0,2,1,538.0,12,500.0,306.0,284.0,2024-07-21,M&E Officer
NAS011,MISSION HOSPITAL LAFIA II,NASARAWA,LAFIA,2023-02-01,2023,2,1,979.0,7.0,5.0,2673,15,205.0,1,0,2457.0,40,1887.0,1769.0,1555.0,2023-03-13,Facility Focal Person
KAD014,GENERAL HOSPITAL SABON GARI II,KADUNA,SABON GARI,2023-09-30,2023,9,3,236.0,2.0,1.0,2393,39,70.0,2,1,1466.0,37,1814.0,1108.0,975.0,2023-10-16,M&E Officer
RIV014,COTTAGE HOSPITAL OBIO/AKPOR II,RIVERS,OBIO/AKPOR,2023-05-31,2023,5,2,1383.0,10.0,8.0,635,7,320.0,0,0,528.0,8,577.0,402.0,388.0,2023-06-18,M&E Officer
CRS003,SPECIALIST HOSPITAL OGOJA,CROSS RIVER,OGOJA,2022-01-31,2022,1,1,1071.0,42.0,35.0,5623,113,247.0,9,8,5025.0,100,3883.0,2563.0,2119.0,2022-03-01,Data Clerk
BEN012,COTTAGE HOSPITAL VANDEIKYA II,BENUE,VANDEIKYA,2023-02-28,2023,2,1,610.0,2.0,1.0,458,6,95.0,0,0,291.0,7,420.0,247.0,236.0,2023-03-18,Facility Focal Person
FCT007,SPECIALIST HOSPITAL BWARI II,FCT,BWARI,2022-08-31,2022,8,3,1755.0,37.0,33.0,4470,29,198.0,2,1,4084.0,78,3985.0,3089.0,2670.0,2022-09-16,Data Clerk
NAS010,TEACHING HOSPITAL NASARAWA II,NASARAWA,NASARAWA,2024-01-31,2024,1,1,1764.0,83.0,77.0,5265,19,225.0,10,7,4767.0,86,4608.0,2632.0,2328.0,2024-02-11,M&E Officer
AKS008,PRIMARY HEALTH CENTRE UYO II,AKWA IBOM,UYO,2024-12-31,2024,12,4,81.0,2.0,1.0,95,0,17.0,0,0,55.0,1,68.0,45.0,43.0,2025-01-15,Facility Focal Person
LAG005,MISSION HOSPITAL AGEGE,LAGOS,AGEGE,2022-10-31,2022,10,4,1124.0,30.0,24.0,1580,13,220.0,1,0,1493.0,32,1398.0,1300.0,1182.0,2022-11-11,M&E Officer
BEN012,COTTAGE HOSPITAL VANDEIKYA II,BENUE,VANDEIKYA,2024-09-30,2024,9,3,561.0,7.0,5.0,456,9,175.0,0,0,313.0,6,347.0,286.0,259.0,2024-10-18,Facility Focal Person
CRS006,PRIMARY HEALTH CENTRE CALABAR MUNICIPAL II,CROSS RIVER,CALABAR MUNICIPAL,2023-02-28,2023,2,1,527.0,23.0,21.0,1303,13,112.0,2,1,878.0,17,1049.0,650.0,563.0,2023-03-16,Data Clerk
AKS004,COMPREHENSIVE HEALTH CENTRE ETINAN,AKWA IBOM,ETINAN,2022-02-28,2022,2,1,147.0,6.0,5.0,1012,11,17.0,0,0,884.0,18,754.0,606.0,631.0,2022-03-13,M&E Officer
BEN011,MODEL PRIMARY HEALTH CENTRE KATSINA-ALA II,BENUE,KATSINA-ALA,2023-07-31,2023,7,3,267.0,9.0,6.0,346,6,66.0,2,1,249.0,7,292.0,274.0,241.0,2023-08-11,M&E Officer
AKS011,COMPREHENSIVE HEALTH CENTRE ETINAN II,AKWA IBOM,ETINAN,2022-12-01,2022,12,4,109.0,6.0,4.0,3040,3,27.0,3,2,245.0,5,213.0,149.0,133.0,2023-01-21,M&E Officer
CRS009,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2023-04-30,2023,4,2,533.0,22.0,17.0,8280,11,127.0,4,3,541.0,9,678.0,411.0,379.0,2023-05-18,M&E Officer
AKS008,PRIMARY HEALTH CENTRE UYO II,AKWA IBOM,UYO,2022-01-31,2022,1,1,77.0,0.0,0.0,83,0,17.0,0,0,72.0,1,57.0,35.0,29.0,2022-02-15,Facility Focal Person
FCT008,TEACHING HOSPITAL GWAGWALADA II,FCT,GWAGWALADA,2022-08-31,2022,8,3,840.0,50.0,46.0,5303,80,221.0,6,5,3927.0,77,4651.0,4053.0,3350.0,2022-09-21,Facility Focal Person
BEN013,MODEL PRIMARY HEALTH CENTRE MAKURDI II,BENUE,MAKURDI,2022-03-31,2022,3,1,490.0,13.0,12.0,304,2,134.0,2,1,173.0,6,211.0,136.0,122.0,2022-04-16,Data Clerk
FCT011,COTTAGE HOSPITAL AMAC II,FCT,AMAC,2023-05-31,2023,5,2,409.0,14.0,13.0,2183,6,116.0,2,1,1868.0,25,2007.0,1647.0,1492.0,2023-06-13,Facility Focal Person
KAD007,MODEL PRIMARY HEALTH CENTRE KADUNA SOUTH II,KADUNA,KADUNA SOUTH,2024-06-30,2024,6,2,293.0,14.0,10.0,,19,70.0,1,0,1007.0,24,1003.0,627.0,578.0,2024-07-16,M&E Officer
CRS015,MODEL PRIMARY HEALTH CENTRE AKAMKPA II,CROSS RIVER,AKAMKPA,2023-09-30,2023,9,3,97.0,0.0,0.0,521,8,26.0,0,0,392.0,6,448.0,352.0,307.0,2023-10-15,Data Clerk
FCT011,COTTAGE HOSPITAL AMAC II,FCT,AMAC,2022-03-31,2022,3,1,308.0,10.0,7.0,2362,23,74.0,3,2,1369.0,21,1959.0,1797.0,1594.0,2022-04-11,M&E Officer
RIV003,COMPREHENSIVE HEALTH CENTRE KHANA,RIVERS,KHANA,2023-02-28,2023,2,1,205.0,11.0,8.0,1026,15,28.0,1,0,968.0,12,895.0,709.0,671.0,2023-03-13,M&E Officer
RIV006,COTTAGE HOSPITAL ELEME,RIVERS,ELEME,2022-01-31,2022,1,1,893.0,49.0,38.0,2262,37,191.0,6,5,2004.0,45,1948.0,1812.0,1508.0,2022-02-11,Facility Focal Person
FCT007,SPECIALIST HOSPITAL BWARI II,FCT,BWARI,2022-03-31,2022,3,1,1552.0,32.0,27.0,4570,47,292.0,3,2,3240.0,59,4159.0,2719.0,2435.0,2022-04-13,M&E Officer
LAG003,TEACHING HOSPITAL BADAGRY,LAGOS,BADAGRY,2024-03-31,2024,3,1,3384.0,3407.0,123.0,6685,106,477.0,9,7,5705.0,92,5388.0,4374.0,4226.0,2024-04-21,Facility Focal Person
NAS007,GENERAL HOSPITAL KARU II,NASARAWA,KARU,2024-04-30,2024,4,2,761.0,8.0,7.0,2110,18,144.0,1,0,1830.0,28,1735.0,1273.0,1113.0,2024-05-11,M&E Officer
CRS014,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2024-12-01,2024,12,4,387.0,6.0,4.0,211,0,90.0,0,0,139.0,3,148.0,89.0,,2025-02-15,M&E Officer
LAG011,COTTAGE HOSPITAL AGEGE II,LAGOS,AGEGE,2022-08-31,2022,8,3,681.0,2.0,1.0,1788,14,190.0,4,3,1608.0,22,1273.0,1105.0,1020.0,2022-09-16,Facility Focal Person
KAD010,COTTAGE HOSPITAL CHIKUN II,KADUNA,CHIKUN,2023-08-31,2023,8,3,246.0,9.0,7.0,968,6,52.0,0,0,914.0,21,890.0,631.0,530.0,2023-09-13,Facility Focal Person
FCT011,COTTAGE HOSPITAL AMAC II,FCT,AMAC,2024-04-30,2024,4,2,459.0,13.0,12.0,2050,23,56.0,2,1,1540.0,36,1773.0,1416.0,1291.0,2024-05-11,Facility Focal Person
NAS003,COTTAGE HOSPITAL KEFFI,NASARAWA,KEFFI,2022-05-31,2022,5,2,265.0,1.0,0.0,,14,79.0,0,0,1202.0,24,1374.0,1104.0,1036.0,2022-06-13,Facility Focal Person
BEN015,PRIMARY HEALTH CENTRE OTUKPO II,BENUE,OTUKPO,2024-09-30,2024,9,3,170.0,6.0,4.0,723,9,38.0,0,0,666.0,16,522.0,316.0,289.0,2024-10-13,Facility Focal Person
KAD004,SPECIALIST HOSPITAL SABON GARI,KADUNA,SABON GARI,2023-06-30,2023,6,2,3433.0,134.0,114.0,4666,46,883.0,21,17,3161.0,62,3226.0,2630.0,2403.0,2023-07-13,M&E Officer
RIV002,TEACHING HOSPITAL OBIO/AKPOR,RIVERS,OBIO/AKPOR,2023-12-31,2023,12,4,1558.0,29.0,28.0,4389,58,386.0,5,3,3433.0,60,4072.0,2665.0,2228.0,2024-01-15,M&E Officer
RIV010,TEACHING HOSPITAL AHOADA EAST II,RIVERS,AHOADA EAST,2022-06-30,2022,6,2,756.0,11.0,-27.0,3307,24,174.0,4,3,2272.0,48,3052.0,2439.0,2092.0,2022-07-21,M&E Officer
NAS013,GENERAL HOSPITAL KEFFI II,NASARAWA,KEFFI,2024-01-31,2024,1,1,556.0,26.0,20.0,1647,4,131.0,4,3,1262.0,25,1296.0,1150.0,1020.0,2024-02-15,Data Clerk
LAG099,GENERAL HOSPITAL CHIKUN II,KADUNA,CHIKUN,2024-05-31,2024,5,2,361.0,11.0,10.0,1573,28,89.0,2,1,950.0,20,1235.0,1100.0,1006.0,2024-06-13,Facility Focal Person
NAS010,TEACHING HOSPITAL NASARAWA II,NASARAWA,NASARAWA,2022-12-31,2022,12,4,1729.0,92.0,77.0,4742,42,175.0,7,6,4148.0,71,3930.0,3193.0,2915.0,2023-01-15,Facility Focal Person
CRS003,SPECIALIST HOSPITAL OGOJA,CROSS RIVER,OGOJA,2022-02-28,2022,2,1,998.0,34.0,24.0,5627,20,289.0,3,2,5115.0,95,4289.0,3445.0,2887.0,2022-03-15,Facility Focal Person
RIV014,COTTAGE HOSPITAL OBIO/AKPOR II,RIVERS,OBIO/AKPOR,2024-03-31,2024,3,1,1017.0,7.0,6.0,667,1,223.0,1,0,487.0,10,595.0,484.0,397.0,2024-04-16,M&E Officer
AKS014,PRIMARY HEALTH CENTRE IKONO II,AKWA IBOM,IKONO,2023-07-31,2023,7,3,287.0,17.0,15.0,617,9,54.0,1,0,489.0,9,458.0,314.0,307.0,2023-08-15,M&E Officer
LAG004,COMPREHENSIVE HEALTH CENTRE SURULERE,LAGOS,SURULERE,2023-09-30,2023,9,3,606.0,8.0,6.0,629,2,146.0,2,1,532.0,8,461.0,372.0,340.0,2023-10-13,Data Clerk
CRS001,MODEL PRIMARY HEALTH CENTRE CALABAR MUNICIPAL,CROSS RIVER,CALABAR MUNICIPAL,2024-07-31,2024,7,3,224.0,5.0,3.0,688,9,62.0,5,3,405.0,4,599.0,449.0,397.0,2024-08-18,Data Clerk
CRS014,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2023-01-31,2023,1,1,199.0,6.0,4.0,122,1,24.0,0,0,84.0,2,104.0,86.0,81.0,2023-02-16,Facility Focal Person
BEN002,SPECIALIST HOSPITAL GBOKO,BENUE,GBOKO,2024-10-31,2024,10,4,2790.0,64.0,60.0,4434,43,519.0,3,2,3204.0,61,3042.0,2104.0,1797.0,2024-11-29,M&E Officer
KAD007,MODEL PRIMARY HEALTH CENTRE KADUNA SOUTH II,KADUNA,KADUNA SOUTH,2023-09-30,2023,9,3,255.0,10.0,9.0,1132,8,65.0,2,1,780.0,13,796.0,735.0,648.0,2023-10-13,Facility Focal Person
NAS007,GENERAL HOSPITAL KARU II,NASARAWA,KARU,2022-01-31,2022,1,1,323.0,0.0,0.0,2722,51,80.0,0,0,2018.0,34,2439.0,1564.0,1496.0,2022-02-21,Facility Focal Person
NAS007,GENERAL HOSPITAL KARU II,NASARAWA,KARU,2023-11-30,2023,11,4,751.0,3.0,2.0,2196,28,125.0,2,1,1980.0,36,,1525.0,1490.0,2023-12-11,M&E Officer
AKS009,PRIMARY HEALTH CENTRE IKOT EKPENE II,AKWA IBOM,IKOT EKPENE,2022-09-30,2022,9,3,59.0,2.0,1.0,233,1,18.0,0,0,141.0,2,167.0,118.0,108.0,2022-10-18,M&E Officer
CRS009,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2022-01-31,2022,1,1,537.0,15.0,11.0,680,2,79.0,1,0,633.0,16,595.0,543.0,,2022-02-15,Data Clerk
AKS001,COMPREHENSIVE HEALTH CENTRE UYO,AKWA IBOM,UYO,2023-06-30,2023,6,2,861.0,9.0,8.0,321,3,141.0,0,0,183.0,7,226.0,131.0,125.0,2023-07-11,M&E Officer
BEN009,PRIMARY HEALTH CENTRE OTUKPO II,BENUE,OTUKPO,2024-11-30,2024,11,4,201.0,2.0,1.0,426,8,49.0,0,0,284.0,4,368.0,330.0,284.0,2024-12-13,Data Clerk
KAD002,TEACHING HOSPITAL KADUNA SOUTH,KADUNA,KADUNA SOUTH,2023-11-30,2023,11,4,1109.0,19.0,16.0,3820,69,291.0,2,1,2341.0,36,3246.0,2916.0,2650.0,2023-12-21,Facility Focal Person
CRS001,MODEL PRIMARY HEALTH CENTRE CALABAR MUNICIPAL,CROSS RIVER,CALABAR MUNICIPAL,2024-08-31,2024,8,3,227.0,9.0,8.0,692,4,45.0,4,3,440.0,4,570.0,483.0,444.0,2024-09-18,Data Clerk
BEN009,PRIMARY HEALTH CENTRE OTUKPO II,BENUE,OTUKPO,2024-05-31,2024,5,2,315.0,2.0,1.0,434,3,83.0,1,0,336.0,7,333.0,197.0,188.0,2024-06-15,Data Clerk
LAG003,TEACHING HOSPITAL BADAGRY,LAGOS,BADAGRY,2022-10-31,2022,10,4,2180.0,90.0,75.0,6262,30,434.0,6,4,5100.0,100,4551.0,3450.0,3119.0,2022-11-13,M&E Officer
CRS012,MODEL PRIMARY HEALTH CENTRE IKOM II,CROSS RIVER,IKOM,2022-04-30,2022,4,2,258.0,4.0,3.0,830,15,39.0,0,0,575.0,9,755.0,648.0,629.0,2022-05-11,Facility Focal Person
FCT004,MODEL PRIMARY HEALTH CENTRE KUJE,FCT,KUJE,2024-03-31,2024,3,1,405.0,18.0,15.0,1262,7,62.0,1,0,920.0,10,1101.0,739.0,774.0,2024-04-18,Facility Focal Person
NAS011,MISSION HOSPITAL LAFIA II,NASARAWA,LAFIA,2022-11-30,2022,11,4,1178.0,12.0,9.0,2702,23,,2,1,2456.0,36,2127.0,1841.0,1593.0,2022-12-18,Facility Focal Person
RIV005,MISSION HOSPITAL DEGEMA,RIVERS,DEGEMA,2022-10-31,2022,10,4,128.0,3.0,2.0,1478,7,39.0,1,0,1090.0,20,1304.0,1082.0,1018.0,2022-11-13,M&E Officer
KAD012,COMPREHENSIVE HEALTH CENTRE KADUNA SOUTH II,KADUNA,KADUNA SOUTH,2022-05-31,2022,5,2,518.0,12.0,8.0,656,12,98.0,2,1,609.0,11,534.0,374.0,306.0,2022-06-18,Data Clerk
BEN002,SPECIALIST HOSPITAL GBOKO,BENUE,GBOKO,2022-02-01,2022,2,1,1540.0,32.0,26.0,5025,17,343.0,5,4,4601.0,77,3669.0,3369.0,2972.0,2022-03-13,M&E Officer
FCT014,GENERAL HOSPITAL KUJE II,FCT,KUJE,2024-01-01,2024,1,1,970.0,29.0,23.0,2510,16,111.0,0,0,1521.0,18,2295.0,1977.0,1785.0,2024-02-11,Data Clerk
NAS014,TEACHING HOSPITAL AKWANGA II,NASARAWA,AKWANGA,2024-10-31,2024,10,4,2297.0,74.0,73.0,5128,27,719.0,13,10,2918.0,56,4266.0,3521.0,3291.0,2024-11-11,Data Clerk
AKS005,COMPREHENSIVE HEALTH CENTRE ORON,AKWA IBOM,ORON,2022-08-31,2022,8,3,132.0,3.0,2.0,1252,20,38.0,0,0,731.0,10,969.0,770.0,681.0,2022-10-16,Data Clerk
FCT011,COTTAGE HOSPITAL AMAC II,FCT,AMAC,2024-06-30,2024,6,2,4000.0,10.0,9.0,2029,13,87.0,2,1,1853.0,25,,1304.0,1093.0,2024-07-16,Facility Focal Person
RIV011,MODEL PRIMARY HEALTH CENTRE DEGEMA II,RIVERS,DEGEMA,2022-10-31,2022,10,4,318.0,9.0,8.0,872,10,82.0,1,0,583.0,11,662.0,467.0,383.0,2022-11-22,Facility Focal Person
CRS014,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2024-11-30,2024,11,4,314.0,6.0,5.0,207,2,43.0,1,0,163.0,3,184.0,158.0,141.0,2024-12-21,Facility Focal Person
NAS012,MISSION HOSPITAL KARU II,NASARAWA,KARU,2023-02-28,2023,2,1,672.0,25.0,22.0,1323,23,119.0,2,1,836.0,8,1147.0,708.0,617.0,2023-03-13,Facility Focal Person
FCT006,MISSION HOSPITAL AMAC II,FCT,AMAC,2022-03-31,2022,3,1,708.0,26.0,23.0,2346,9,117.0,2,1,2029.0,39,2027.0,1826.0,1503.0,2022-04-11,Data Clerk
LAG012,PRIMARY HEALTH CENTRE ALIMOSHO II,LAGOS,ALIMOSHO,2022-07-31,2022,7,3,271.0,16.0,11.0,628,3,31.0,2,1,564.0,14,496.0,455.0,439.0,2022-08-11,Facility Focal Person
BEN014,COMPREHENSIVE HEALTH CENTRE GBOKO II,BENUE,GBOKO,2024-12-31,2024,12,4,630.0,8.0,,740,11,138.0,0,0,534.0,11,590.0,416.0,347.0,2025-01-13,Facility Focal Person
CRS007,MODEL PRIMARY HEALTH CENTRE IKOM II,CROSS RIVER,IKOM,2023-02-28,2023,2,1,109.0,6.0,4.0,308,4,33.0,1,0,236.0,6,232.0,133.0,123.0,2023-03-15,Facility Focal Person
CRS009,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2023-09-30,2023,9,3,676.0,21.0,16.0,880,10,145.0,0,0,714.0,9,712.0,620.0,580.0,2023-10-15,Facility Focal Person
LAG008,COTTAGE HOSPITAL LAGOS ISLAND II,LAGOS,LAGOS ISLAND,2022-02-28,2022,2,1,111.0,4.0,3.0,896,2,26.0,1,0,818.0,21,661.0,611.0,559.0,2022-03-11,Data Clerk
KAD005,COTTAGE HOSPITAL CHIKUN,KADUNA,CHIKUN,2024-10-31,2024,10,4,696.0,13.0,12.0,409,5,216.0,1,0,330.0,12,342.0,244.0,204.0,2024-11-11,M&E Officer
KAD002,TEACHING HOSPITAL KADUNA SOUTH,KADUNA,KADUNA SOUTH,2024-10-31,2024,10,4,1242.0,14.0,13.0,3517,36,164.0,3,2,3105.0,56,2895.0,2258.0,1880.0,2024-11-15,M&E Officer
FCT005,PRIMARY HEALTH CENTRE ABAJI,FCT,ABAJI,2023-02-28,2023,2,1,403.0,443.0,9.0,508,8,64.0,0,0,349.0,6,468.0,406.0,385.0,2023-03-13,Facility Focal Person
RIV010,TEACHING HOSPITAL AHOADA EAST II,RIVERS,AHOADA EAST,2023-04-30,2023,4,2,807.0,16.0,12.0,3117,63,109.0,2,1,2359.0,43,2895.0,2449.0,2063.0,2023-05-13,Facility Focal Person
NAS011,MISSION HOSPITAL LAFIA II,NASARAWA,LAFIA,2022-04-30,2022,4,2,785.0,10.0,9.0,,30,78.0,0,0,2014.0,41,2501.0,1921.0,1866.0,2022-05-13,Facility Focal Person
NAS003,COTTAGE HOSPITAL KEFFI,NASARAWA,KEFFI,2024-03-01,2024,3,1,351.0,6.0,4.0,1530,17,72.0,96,0,1232.0,19,1156.0,802.0,658.0,2024-04-18,M&E Officer
BEN011,MODEL PRIMARY HEALTH CENTRE KATSINA-ALA II,BENUE,KATSINA-ALA,2023-09-30,2023,9,3,243.0,8.0,7.0,349,5,73.0,2,1,270.0,6,297.0,195.0,168.0,2023-10-11,Facility Focal Person
BEN007,SPECIALIST HOSPITAL MAKURDI II,BENUE,MAKURDI,2023-12-01,2023,12,4,227.0,5.0,4.0,1945,39,56.0,0,0,1276.0,20,1690.0,1297.0,1207.0,2024-01-13,Data Clerk
CRS003,SPECIALIST HOSPITAL OGOJA,CROSS RIVER,OGOJA,2023-01-31,2023,1,1,1182.0,46.0,40.0,5404,28,232.0,8,7,3872.0,76,4105.0,2285.0,2182.0,2023-02-21,M&E Officer
AKS004,COMPREHENSIVE HEALTH CENTRE ETINAN,AKWA IBOM,ETINAN,2023-01-31,2023,1,1,153.0,5.0,4.0,963,2,46.0,2,1,704.0,12,840.0,772.0,654.0,2023-02-11,Facility Focal Person
FCT004,MODEL PRIMARY HEALTH CENTRE KUJE,FCT,KUJE,2024-08-31,2024,8,3,435.0,13.0,11.0,1240,17,90.0,2,1,789.0,15,1067.0,1003.0,876.0,2024-09-18,Facility Focal Person
KAD014,GENERAL HOSPITAL SABON GARI II,KADUNA,SABON GARI,2022-06-30,2022,6,2,197.0,3.0,2.0,2723,47,25.0,3,2,1562.0,27,2285.0,1995.0,1808.0,2022-07-15,M&E Officer
RIV006,COTTAGE HOSPITAL ELEME,RIVERS,ELEME,2024-08-31,2024,8,3,1217.0,83.0,70.0,2873,15,,8,7,2100.0,48,2631.0,2452.0,2366.0,2024-09-18,Facility Focal Person
AKS003,MODEL PRIMARY HEALTH CENTRE EKET,AKWA IBOM,EKET,2023-02-28,2023,2,1,547.0,10.0,9.0,241,4,75.0,0,0,164.0,1,218.0,165.0,140.0,2023-03-24,Facility Focal Person
AKS002,GENERAL HOSPITAL IKOT EKPENE,AKWA IBOM,IKOT EKPENE,2023-04-30,2023,4,2,200.0,5.0,4.0,625,9,20.0,0,0,565.0,11,445.0,418.0,361.0,2023-05-18,Data Clerk
NAS005,MISSION HOSPITAL NASARAWA,NASARAWA,NASARAWA,2023-04-30,2023,4,2,1200.0,27.0,21.0,441,4,307.0,5,4,263.0,5,311.0,276.0,250.0,2023-05-16,Facility Focal Person
BEN011,MODEL PRIMARY HEALTH CENTRE KATSINA-ALA II,BENUE,KATSINA-ALA,2023-01-31,2023,1,1,170.0,3.0,2.0,331,2,45.0,1,0,244.0,7,248.0,217.0,196.0,2023-03-18,M&E Officer
FCT010,MODEL PRIMARY HEALTH CENTRE ABAJI II,FCT,ABAJI,2022-04-30,2022,4,2,506.0,8.0,7.0,268,3,146.0,3,2,182.0,5,226.0,145.0,130.0,2022-05-18,Facility Focal Person
AKS012,COTTAGE HOSPITAL ORON II,AKWA IBOM,ORON,2023-07-31,2023,7,3,1190.0,41.0,36.0,921,12,319.0,8,7,,14,822.0,512.0,486.0,2023-08-16,Facility Focal Person
AKS005,COMPREHENSIVE HEALTH CENTRE ORON,AKWA IBOM,ORON,2024-12-31,2024,12,4,126.0,1.0,0.0,922,15,25.0,0,0,786.0,21,845.0,487.0,446.0,2025-01-18,M&E Officer
LAG009,MISSION HOSPITAL BADAGRY II,LAGOS,BADAGRY,2022-06-30,2022,6,2,349.0,8.0,6.0,2757,35,97.0,0,0,1543.0,16,2151.0,1727.0,1492.0,2022-07-16,Facility Focal Person
LAG015,MODEL PRIMARY HEALTH CENTRE BADAGRY II,LAGOS,BADAGRY,2022-08-31,2022,8,3,222.0,10.0,7.0,1133,8,47.0,1,0,999.0,17,,686.0,607.0,2022-09-21,Data Clerk
LAG005,MISSION HOSPITAL AGEGE,LAGOS,AGEGE,2022-08-31,2022,8,3,1102.0,37.0,32.0,1561,10,325.0,7,6,894.0,22,1360.0,859.0,813.0,2022-09-16,Facility Focal Person
CRS009,COMPREHENSIVE HEALTH CENTRE OBUDU II,CROSS RIVER,OBUDU,2022-09-30,2022,9,3,585.0,27.0,24.0,776,5,77.0,2,1,488.0,12,691.0,636.0,579.0,2022-10-29,M&E Officer
AKS009,PRIMARY HEALTH CENTRE IKOT EKPENE II,AKWA IBOM,IKOT EKPENE,2022-03-31,2022,3,1,69.0,4.0,3.0,244,1,18.0,0,0,152.0,2,179.0,169.0,139.0,2022-04-11,M&E Officer
LAG014,COTTAGE HOSPITAL LAGOS ISLAND II,LAGOS,LAGOS ISLAND,2022-12-01,2022,12,4,604.0,6.0,4.0,1882,7,99.0,0,0,1364.0,22,1472.0,1033.0,958.0,2023-01-15,Facility Focal Person
AKS009,PRIMARY HEALTH CENTRE IKOT EKPENE II,AKWA IBOM,IKOT EKPENE,2024-07-31,2024,7,3,109.0,6.0,-39.0,232,3,27.0,1,0,137.0,2,190.0,145.0,135.0,2024-08-21,Data Clerk
RIV014,COTTAGE HOSPITAL OBIO/AKPOR II,RIVERS,OBIO/AKPOR,2023-06-30,2023,6,2,1064.0,1085.0,,631,10,193.0,2,1,383.0,8,437.0,288.0,265.0,2023-07-11,M&E Officer
LAG014,COTTAGE HOSPITAL LAGOS ISLAND II,LAGOS,LAGOS ISLAND,2024-10-31,2024,10,4,797.0,14.0,13.0,1596,15,169.0,1,0,1119.0,18,1225.0,1077.0,903.0,2024-11-11,Data Clerk
RIV006,COTTAGE HOSPITAL ELEME,RIVERS,ELEME,2022-12-31,2022,12,4,1080.0,60.0,58.0,2536,10,182.0,4,3,1428.0,26,1802.0,1111.0,982.0,2023-01-13,M&E Officer
FCT001,MISSION HOSPITAL AMAC,FCT,AMAC,2023-01-31,2023,1,1,833.0,,5.0,1287,16,158.0,3,2,927.0,18,931.0,543.0,521.0,2023-02-15,Facility Focal Person
NAS014,TEACHING HOSPITAL AKWANGA II,NASARAWA,AKWANGA,2022-11-30,2022,11,4,2062.0,38.0,31.0,4833,12,453.0,5,4,3954.0,76,3681.0,3157.0,2937.0,2023-01-15,M&E Officer
