facility_id,report_month,sex,age_band,hts_tst,hts_tst_pos
AKS001,2024-08,Male,50 and above,37,0
AKS001,2024-09,Female,<15,40,0
AKS001,2024-09,female,15-24,131,0
AKS001,2024-09,Female,25-34,108,0
AKS001,2024-09,Female,35-49,96,0
AKS001,2024-09,Female,50+,35,0
AKS001,2024-09,Male,<15,30,0
AKS001,2024-09,M,15-24,90,0
AKS001,2024-09,M,25-34,89,0
AKS001,2024-09,Male,35-49,57,0
AKS001,2024-09,Male,50+,31,0
AKS001,2024-10,Female,<15,30,0
AKS001,2024-10,Female,15-24,97,0
AKS001,2024-10,F,25-34,97,1
AKS001,2024-10,Female,35-49,66,0
AKS001,2024-10,Female,50+,35,0
AKS001,2024-10,Male,0-14,24,0
AKS001,2024-10,Male,15-24,67,0
AKS001,2024-10,male,25-34,61,0
AKS001,2024-10,Male,35-49,58,0
AKS001,2024-10,M,50+,25,0
AKS001,2024-11,Female,<15,30,0
AKS001,2024-11,F,15-24,81,0
AKS001,2024-11,female,25-34,85,1
AKS001,2024-11,Female,35-49,77,1
AKS001,2024-11,Female,50+,27,0
AKS001,2024-11,Male,<15,19,0
AKS001,2024-11,Male,15-24,63,0
AKS001,2024-11,Male,25-34,65,1
AKS001,2024-11,Male,35-49,48,1
AKS001,2024-11,Male,50+,22,0
AKS001,2024-12,Female,<15,27,0
AKS001,2024-12,Female,15-24,87,0
AKS001,2024-12,F,25-34,88,1
AKS001,2024-12,Female,35-49,70,0
AKS001,2024-12,Female,50+,-,0
AKS001,2024-12,Male,<15,20,0
AKS001,2024-12,Male,15-24,57,0
AKS001,2024-12,Male,25-34,62,0
AKS001,2024-12,Male,35-49,54,0
AKS001,2024-12,Male,50+,22,0
AKS002,2024-01,Female,<15,12,0
AKS002,2024-01,Female,15-24,35,0
AKS002,2024-01,Female,25-34,39,0
AKS002,2024-01,F,35-49,32,0
AKS002,2024-01,Female,50+,13,0
AKS002,2024-01,Male,<15,11,0
AKS002,2024-01,Male,15-24,26,0
AKS002,2024-01,Male,25-34,26,0
AKS002,2024-01,Male,35-49,20,0
AKS002,2024-01,Male,50+,11,0
AKS002,2024-02,Female,<15,17,0
AKS002,2024-02,f,15 - 24,48,0
AKS002,2024-02,Female,25-34,41,0
AKS002,2024-02,Female,35-49,34,0
AKS002,2024-02,female,50+,16,0
AKS002,2024-02,Male,<15,9,0
AKS002,2024-02,Male,15-24,31,0
AKS002,2024-02,Male,25-34,35,0
AKS002,2024-02,Male,35-49,27,0
AKS002,2024-02,Male,50+,10,0
AKS002,2024-03,F,0-14,19,0
AKS002,2024-03,Female,15-24,49,0
AKS002,2024-03,Female,25-34,51,0
AKS002,2024-03,Female,35-49,39,0
AKS002,2024-03,Female,50+,19,0
AKS002,2024-03,Male,<15,12,0
AKS002,2024-03,Male,15-24,34,0
AKS002,2024-03,Male,25-34,38,
AKS002,2024-03,M,35-49,31,0
AKS002,2024-03,M,50+,12,0
AKS002,2024-04,Female,<15,15,0
AKS002,2024-04,Female,15-24,47,0
AKS002,2024-04,Female,25-34,55,0
AKS002,2024-04,female,35-49,34,0
AKS002,2024-04,Female,50+,18,0
AKS002,2024-04,Male,<15,12,0
AKS002,2024-04,Male,15-24,36,0
AKS002,2024-04,Male,25-34,37,0
AKS002,2024-04,Male,35-49,26,0
AKS002,2024-04,Male,50+,10,0
AKS002,2024-05,Female,<15,16,0
AKS002,2024-05,Female,15-24,53,0
AKS002,2024-05,Female,25-34,46,0
AKS002,2024-05,Female,35-49,34,0
AKS002,2024-05,Female,50+,18,0
AKS002,2024-05,Male,<15,13,0
AKS002,2024-05,Male,15-24,31,0
AKS002,2024-05,Male,25-34,40,0
AKS002,2024-05,Male,35-49,26,0
AKS002,2024-05,Male,50+,11,0
AKS002,2024-06,Female,<15,25,0
AKS002,2024-06,Female,15-24,55,0
AKS002,2024-06,Female,25-34,61,0
AKS002,2024-06,Female,35-49,57,0
AKS002,2024-06,Female,50+,22,0
AKS002,2024-06,Male,<15,15,0
AKS002,2024-06,Male,15-24,41,0
AKS002,2024-06,Male,25-34,54,0
AKS002,2024-06,Male,35-49,32,0
AKS002,2024-06,M,50+,17,0
AKS002,2024-07,Female,<15,14,0
AKS002,2024-07,Female,15-24,50,0
AKS002,2024-07,f,25-34,53,0
AKS002,2024-07,Female,35-49,40,0
AKS002,2024-07,Female,50+,17,0
AKS002,2024-07,Male,<15,12,0
AKS002,2024-07,Male,15-24,38,0
AKS002,2024-07,Male,25-34,35,0
AKS002,2024-07,Male,35-49,27,0
AKS002,2024-07,Male,50+,14,0
AKS002,2024-08,Female,<15,20,0
AKS002,2024-08,Female,15-24,49,0
AKS002,2024-08,Female,25-34,59,0
AKS002,2024-08,Female,35-49,39,0
AKS002,2024-08,Female,50+,22,0
AKS002,2024-08,Male,<15,14,0
AKS002,2024-08,Male,15-24,36,0
AKS002,2024-08,Male,25-34,41,0
AKS002,2024-08,Male,35-49,31,0
AKS002,2024-08,Male,50+,14,0
AKS002,2024-09,Female,<15,13,0
AKS002,2024-09,Female,15-24,40,0
AKS002,2024-09,Female,25-34,44,0
AKS002,2024-09,Female,35-49,36,0
AKS002,2024-09,Female,50+,16,0
AKS002,2024-09,Male,<15,12,0
AKS002,2024-09,Male,15-24,33,0
AKS002,2024-09,Male,25-34,31,0
AKS002,2024-09,Male,35-49,23,0
AKS002,2024-09,Male,50+,9,0
AKS002,2024-10,Female,<15,14,0
AKS002,2024-10,Female,15-24,41,0
AKS002,2024-10,F,25-34,44,0
AKS002,2024-10,Female,35-49,31,0
AKS002,2024-10,Female,50+,16,0
AKS002,2024-10,Male,<15,10,0
AKS002,2024-10,Male,15-24,30,0
AKS002,2024-10,M,25-34,32,0
AKS002,2024-10,Male,35-49,24,0
AKS002,2024-10,Male,50+,10,0
AKS002,2024-11,Female,<15,13,0
AKS002,2024-11,Female,15-24,36,0
AKS002,2024-11,female,25-34,36,0
AKS002,2024-11,Female,35-49,27,0
AKS002,2024-11,Female,50+,11,0
AKS002,2024-11,Male,<15,8,0
AKS002,2024-11,Male,15-24,24,0
AKS002,2024-11,male,25-34,28,0
AKS002,2024-11,Male,35-49,20,0
AKS002,2024-11,Male,50+,8,0
AKS002,2024-12,Female,<15,11,0
AKS002,2024-12,F,15-24,39,0
AKS002,2024-12,Female,25-34,40,0
AKS002,2024-12,female,35-49,29,0
AKS002,2024-12,Female,50+,12,0
AKS002,2024-12,Male,0-14,9,0
AKS002,2024-12,Male,15-24,28,0
AKS002,2024-12,Male,25-34,27,0
AKS002,2024-12,Male,35-49,21,0
AKS002,2024-12,Male,50+,9,0
AKS003,2024-01,F,<15,29,0
AKS003,2024-01,female,15-24,89,0
AKS003,2024-01,F,25-34,73,1
AKS003,2024-01,Female,35-49,70,0
AKS003,2024-01,Female,50+,27,0
AKS003,2024-01,Male,<15,23,0
AKS003,2024-01,Male,15-24,55,0
AKS003,2024-01,Male,25-34,58,0
AKS003,2024-01,Male,35-49,49,0
AKS003,2024-01,Male,50+,23,0
AKS003,2024-02,Female,<15,36,0
AKS003,2024-02,Female,15-24,90,1
AKS003,2024-02,Female,25-34,104,3
AKS003,2024-02,Female,35-49,66,1
AKS003,2024-02,F,50+,38,0
AKS003,2024-02,Male,<15,23,0
AKS003,2024-02,Male,15-24,76,1
AKS003,2024-02,Male,25-34,65,1
AKS003,2024-02,Male,35-49,51,1
AKS003,2024-02,Male,50+,26,0
AKS003,2024-03,Female,<15,34,0
AKS003,2024-03,F,15-24,123,3
AKS003,2024-03,Female,25-34,113,6
AKS003,2024-03,Female,35-49,76,4
AKS003,2024-03,Female,50+,35,1
AKS003,2024-03,Male,<15,25,0
AKS003,2024-03,Male,15-24,74,2
AKS003,2024-03,Male,25-34,79,4
AKS003,2024-03,Male,35-49,65,3
AKS003,2024-03,Male,50+,33,0
AKS003,2024-04,F,<15,48,0
AKS003,2024-04,Female,15-24,130,1
AKS003,2024-04,Female,25-34,117,3
AKS003,2024-04,female,35-49,106,2
AKS003,2024-04,Female,50+,51,0
AKS003,2024-04,Male,<15,31,0
AKS003,2024-04,Male,15-24,80,1
AKS003,2024-04,Male,25-34,104,2
AKS003,2024-04,M,35-49,78,2
AKS003,2024-04,Male,50+,34,0
AKS003,2024-05,Female,<15,32,0
AKS003,2024-05,Female,15-24,101,1
AKS003,2024-05,F,25-34,108,N/A
AKS003,2024-05,Female,35-49,76,2
AKS003,2024-05,Female,50+,34,0
AKS003,2024-05,Male,<15,21,0
AKS003,2024-05,Male,15-24,78,1
AKS003,2024-05,Male,25-34,78,2
AKS003,2024-05,Male,35-49,54,1
AKS003,2024-05,Male,50+,22,0
AKS003,2024-06,Female,<15,38,0
AKS003,2024-06,Female,15-24,126,2
AKS003,2024-06,F,25-34,109,5
AKS003,2024-06,Female,35-49,85,4
AKS003,2024-06,Female,50+,36,0
AKS003,2024-06,Male,<15,26,0
AKS003,2024-06,Male,15-24,86,2
AKS003,2024-06,Male,25-34,78,3
AKS003,2024-06,Male,35-49,65,3
AKS003,2024-06,Male,50+,29,0
AKS003,2024-07,Female,<15,56,0
AKS003,2024-07,F,15-24,156,2
AKS003,2024-07,Female,25-34,162,5
AKS003,2024-07,Female,35-49,125,4
AKS003,2024-07,Female,50+,52,0
AKS003,2024-07,Male,<15,39,0
AKS003,2024-07,Male,15-24,118,1
AKS003,2024-07,Male,25-34,113,3
AKS003,2024-07,Male,35-49,87,2
AKS003,2024-07,Male,50+,42,0
AKS003,2024-08,Female,<15,37,0
AKS003,2024-08,Female,15-24,115,1
AKS003,2024-08,Female,25-34,142,4
AKS003,2024-08,Female,35-49,90,2
AKS003,2024-08,Female,50+,37,0
AKS003,2024-08,Male,<15,30,0
AKS003,2024-08,Male,15-24,95,1
AKS003,2024-08,M,25-34,80,2
AKS003,2024-08,Male,35-49,69,2
AKS003,2024-08,Male,50+,30,0
AKS003,2024-09,Female,<15,41,1
AKS003,2024-09,Female,15-24,109,3
AKS003,2024-09,Female,25-34,103,6
AKS003,2024-09,Female,35-49,77,4
AKS003,2024-09,female,50+,36,1
AKS003,2024-09,M,<15,25,0
AKS003,2024-09,M,15-24,79,2
AKS003,2024-09,Male,25-34,72,4
AKS003,2024-09,Male,35-49,58,3
AKS003,2024-09,Male,50+,31,0
AKS003,2024-10,Female,<15,38,0
AKS003,2024-10,F,15-24,127,1
AKS003,2024-10,Female,25-34,117,3
AKS003,2024-10,F,35-49,87,2
AKS003,2024-10,Female,50+,39,0
AKS003,2024-10,Male,0-14,29,0
AKS003,2024-10,Male,15-24,83,1
AKS003,2024-10,Male,25-34,83,2
AKS003,2024-10,Male,35-49,64,1
AKS003,2024-10,M,50+,35,0
AKS003,2024-11,Female,<15,38,0
AKS003,2024-11,Female,15-24,117,2
AKS003,2024-11,Female,25-34,121,4
AKS003,2024-11,Female,35-49,83,3
AKS003,2024-11,Female,50+,41,0
AKS003,2024-11,Male,<15,29,0
AKS003,2024-11,Male,15-24,85,1
AKS003,2024-11,M,25-34,79,2
AKS003,2024-11,M,35-49,65,2
AKS003,2024-11,Male,50+,33,0
AKS003,2024-12,Female,<15,22,0
AKS003,2024-12,Female,15-24,65,0
AKS003,2024-12,Female,25-34,77,2
AKS003,2024-12,F,35-49,53,1
AKS003,2024-12,Female,50+,20,0
AKS003,2024-12,Male,<15,17,0
AKS003,2024-12,Male,15-24,50,0
AKS003,2024-12,Male,25-34,50,1
AKS003,2024-12,Male,35-49,37,1
AKS003,2024-12,Male,50+,17,0
AKS004,2024-01,Female,<15,14,0
AKS004,2024-01,Female,15-24,41,N/A
AKS004,2024-01,Female,25-34,37,0
AKS004,2024-01,F,35-49,27,0
AKS004,2024-01,Female,50+,12,0
AKS004,2024-01,Male,<15,9,0
AKS004,2024-01,Male,15-24,28,0
AKS004,2024-01,Male,25-34,29,0
AKS004,2024-01,Male,35-49,18,0
AKS004,2024-01,Male,50+,10,0
AKS004,2024-02,Female,<15,12,0
AKS004,2024-02,Female,15-24,35,1
AKS004,2024-02,Female,25-34,39,2
AKS004,2024-02,Female,35-49,28,1
AKS004,2024-02,Female,50+,12,0
AKS004,2024-02,M,<15,9,0
AKS004,2024-02,Male,15-24,26,0
AKS004,2024-02,Male,25-34,24,1
AKS004,2024-02,Male,35-49,22,1
AKS004,2024-02,M,50+,9,0
AKS004,2024-03,Female,<15,13,0
AKS004,2024-03,F,15-24,46,1
AKS004,2024-03,Female,25-34,48,4
AKS004,2024-03,F,35-49,35,3
AKS004,2024-03,F,50+,16,0
AKS004,2024-03,Male,<15,11,0
AKS004,2024-03,Male,15-24,29,1
AKS004,2024-03,Male,25-34,36,3
AKS004,2024-03,Male,35-49,27,2
AKS004,2024-03,Male,50+,10,0
AKS004,2024-04,Female,<15,13,0
AKS004,2024-04,Female,15-24,41,0
AKS004,2024-04,Female,25-34,45,1
AKS004,2024-04,Female,35-49,37,1
AKS004,2024-04,female,50+,15,0
AKS004,2024-04,Male,<15,12,0
AKS004,2024-04,M,15-24,34,0
AKS004,2024-04,Male,25-34,30,1
AKS004,2024-04,Male,35-49,22,0
AKS004,2024-04,Male,50+,10,0
AKS004,2024-05,Female,<15,18,0
AKS004,2024-05,Female,15-24,44,1
AKS004,2024-05,Female,25-34,47,3
AKS004,2024-05,Female,35-49,33,2
AKS004,2024-05,Female,50+,18,0
AKS004,2024-05,Male,<15,11,0
AKS004,2024-05,Male,15-24,33,1
AKS004,2024-05,Male,25-34,35,2
AKS004,2024-05,Male,35-49,27,2
AKS004,2024-05,Male,50+,10,0
AKS004,2024-06,Female,<15,14,0
AKS004,2024-06,Female,15-24,38,1
AKS004,2024-06,Female,25-34,41,2
AKS004,2024-06,Female,35-49,32,1
AKS004,2024-06,Female,50+,12,0
AKS004,2024-06,Male,<15,9,0
AKS004,2024-06,Male,15-24,29,0
AKS004,2024-06,Male,25-34,32,1
AKS004,2024-06,Male,35-49,18,1
AKS004,2024-06,Male,50+,10,0
AKS004,2024-07,Female,<15,14,0
AKS004,2024-07,Female,15-24,45,1
AKS004,2024-07,Female,25-34,50,2
AKS004,2024-07,Female,35-49,42,2
AKS004,2024-07,female,50+,16,0
AKS004,2024-07,Male,<15,10,0
AKS004,2024-07,Male,15-24,35,1
AKS004,2024-07,Male,25-34,37,2
AKS004,2024-07,Male,35-49,24,1
AKS004,2024-07,Male,50 and above,14,0
AKS004,2024-08,Female,0-14,12,0
AKS004,2024-08,Female,15-24,40,0
AKS004,2024-08,Female,25-34,47,2
AKS004,2024-08,Female,35-49,26,1
AKS004,2024-08,Female,50+,12,0
AKS004,2024-08,Male,<15,8,0
AKS004,2024-08,Male,15-24,31,0
AKS004,2024-08,Male,25-34,27,1
AKS004,2024-08,Male,35-49,22,1
AKS004,2024-08,Male,50+,10,0
AKS004,2024-09,Female,<15,17,0
AKS004,2024-09,Female,15-24,49,0
AKS004,2024-09,Female,25-34,48,1
AKS004,2024-09,Female,35-49,39,0
AKS004,2024-09,F,50+,16,0
AKS004,2024-09,male,<15,12,0
AKS004,2024-09,Male,15-24,34,0
AKS004,2024-09,Male,25-34,38,0
AKS004,2024-09,male,35-49,26,0
AKS004,2024-09,Male,50+,12,0
AKS004,2024-10,Female,<15,13,0
AKS004,2024-10,Female,15-24,44,0
AKS004,2024-10,Female,25-34,47,1
AKS004,2024-10,Female,35-49,32,1
AKS004,2024-10,Female,50 and above,12,0
AKS004,2024-10,Male,<15,11,0
AKS004,2024-10,Male,15-24,28,0
AKS004,2024-10,Male,25-34,35,1
AKS004,2024-10,Male,35-49,23,0
AKS004,2024-10,male,50+,9,0
AKS004,2024-11,F,<15,12,0
AKS004,2024-11,Female,15-24,27,0
AKS004,2024-11,Female,25-34,33,0
AKS004,2024-11,Female,35-49,27,0
AKS004,2024-11,Female,50+,11,0
AKS004,2024-11,Male,<15,7,0
AKS004,2024-11,Male,15-24,22,0
AKS004,2024-11,Male,25-34,25,0
AKS004,2024-11,Male,35-49,17,0
AKS004,2024-11,Male,50+,8,0
AKS004,2024-12,Female,<15,9,0
AKS004,2024-12,Female,15-24,28,0
AKS004,2024-12,Female,25-34,30,1
AKS004,2024-12,Female,35-49,23,1
AKS004,2024-12,Female,50+,10,0
AKS004,2024-12,Male,<15,8,0
AKS004,2024-12,Male,15-24,19,0
AKS004,2024-12,Male,25-34,21,1
AKS004,2024-12,Male,35-49,17,0
AKS004,2024-12,Male,50+,7,0
AKS005,2024-01,Female,<15,6,0
AKS005,2024-01,Female,15-24,15,0
AKS005,2024-01,F,25-34,19,0
AKS005,2024-01,Female,35-49,14,0
AKS005,2024-01,Female,50+,6,0
AKS005,2024-01,Male,<15,4,0
AKS005,2024-01,Male,15-24,12,0
AKS005,2024-01,Male,25-34,14,0
AKS005,2024-01,M,35-49,9,0
AKS005,2024-01,Male,50+,3,0
AKS005,2024-02,Female,<15,6,0
AKS005,2024-02,Female,15-24,20,0
AKS005,2024-02,F,25-34,20,0
AKS005,2024-02,Female,35-49,17,0
AKS005,2024-02,Female,50+,8,0
AKS005,2024-02,Male,<15,5,0
AKS005,2024-02,Male,15-24,12,0
AKS005,2024-02,Male,25-34,17,0
AKS005,2024-02,Male,35-49,12,0
AKS005,2024-02,Male,50+,5,0
AKS005,2024-03,Female,<15,10,0
AKS005,2024-03,Female,15-24,26,0
AKS005,2024-03,Female,25-34,29,0
AKS005,2024-03,female,35-49,21,0
AKS005,2024-03,Female,50+,9,0
AKS005,2024-03,Male,<15,6,0
AKS005,2024-03,Male,15-24,18,0
AKS005,2024-03,Male,25-34,21,0
AKS005,2024-03,Male,35-49,16,0
AKS005,2024-03,Male,50+,6,0
AKS005,2024-04,Female,<15,9,0
AKS005,2024-04,F,15-24,27,0
AKS005,2024-04,female,25-34,29,0
AKS005,2024-04,Female,35-49,19,0
AKS005,2024-04,F,50+,8,0
AKS005,2024-04,Male,<15,6,0
AKS005,2024-04,Male,15-24,21,0
AKS005,2024-04,Male,25-34,17,0
AKS005,2024-04,Male,35-49,14,0
AKS005,2024-04,Male,50+,7,0
AKS005,2024-05,F,0-14,8,0
AKS005,2024-05,Female,15-24,22,0
AKS005,2024-05,F,25-34,27,0
AKS005,2024-05,Female,35-49,20,0
AKS005,2024-05,Female,50+,7,0
AKS005,2024-05,Male,<15,5,0
AKS005,2024-05,Male,15 - 24,18,0
AKS005,2024-05,M,25-34,18,0
AKS005,2024-05,Male,35-49,13,0
AKS005,2024-05,Male,50+,5,0
AKS005,2024-06,Female,<15,6,0
AKS005,2024-06,Female,15-24,,0
AKS005,2024-06,Female,25-34,25,0
AKS005,2024-06,female,35-49,15,0
AKS005,2024-06,Female,50+,7,0
AKS005,2024-06,Male,<15,6,0
AKS005,2024-06,Male,15-24,14,0
AKS005,2024-06,Male,25-34,16,0
AKS005,2024-06,Male,35-49,12,0
AKS005,2024-06,Male,50+,6,0
AKS005,2024-07,Female,<15,8,0
AKS005,2024-07,Female,15-24,23,0
AKS005,2024-07,Female,25-34,21,0
AKS005,2024-07,F,35-49,20,0
AKS005,2024-07,female,50+,6,0
AKS005,2024-07,Male,<15,4,0
AKS005,2024-07,Male,15 - 24,17,0
AKS005,2024-07,Male,25-34,17,0
AKS005,2024-07,Male,35-49,14,0
AKS005,2024-07,M,50+,5,0
AKS005,2024-08,Female,<15,10,0
AKS005,2024-08,Female,15-24,26,0
AKS005,2024-08,Female,25-34,24,0
AKS005,2024-08,Female,35-49,20,0
AKS005,2024-08,Female,50+,8,0
AKS005,2024-08,Male,<15,6,0
AKS005,2024-08,male,15-24,17,0
AKS005,2024-08,Male,25-34,21,0
AKS005,2024-08,Male,35-49,12,0
AKS005,2024-08,Male,50+,7,0
AKS005,2024-09,Female,0-14,9,0
AKS005,2024-09,Female,15-24,24,0
AKS005,2024-09,Female,25-34,28,0
AKS005,2024-09,Female,35-49,19,0
AKS005,2024-09,female,50+,9,0
AKS005,2024-09,male,<15,7,0
AKS005,2024-09,Male,15-24,19,0
AKS005,2024-09,Male,25-34,20,0
AKS005,2024-09,Male,35-49,12,0
AKS005,2024-09,Male,50+,6,0
AKS005,2024-10,Female,<15,7,0
AKS005,2024-10,Female,15-24,22,0
AKS005,2024-10,Female,25-34,24,0
AKS005,2024-10,Female,35-49,16,0
AKS005,2024-10,Female,50+,7,0
AKS005,2024-10,Male,<15,6,0
AKS005,2024-10,Male,15-24,16,0
AKS005,2024-10,Male,25-34,15,0
AKS005,2024-10,Male,35-49,11,0
AKS005,2024-10,Male,50+,6,0
AKS005,2024-11,Female,<15,8,0
AKS005,2024-11,Female,15-24,24,0
AKS005,2024-11,Female,25-34,26,0
AKS005,2024-11,f,35-49,20,0
AKS005,2024-11,F,50+,7,0
AKS005,2024-11,M,<15,5,0
AKS005,2024-11,Male,15-24,14,0
AKS005,2024-11,Male,25-34,20,0
AKS005,2024-11,Male,35-49,14,0
AKS005,2024-11,Male,50+,6,0
AKS005,2024-12,Female,<15,7,0
AKS005,2024-12,Female,15-24,19,0
AKS005,2024-12,Female,25-34,19,0
AKS005,2024-12,Female,35-49,18,0
AKS005,2024-12,Female,50 and above,8,0
AKS005,2024-12,Male,<15,5,0
AKS005,2024-12,M,15-24,13,0
AKS005,2024-12,M,25-34,17,0
AKS005,2024-12,Male,35-49,11,0
AKS005,2024-12,Male,50+,4,0
AKS006,2024-01,Female,<15,26,0
AKS006,2024-01,F,15-24,70,2
AKS006,2024-01,Female,25-34,89,5
AKS006,2024-01,Female,35-49,52,3
AKS006,2024-01,Female,50+,28,0
AKS006,2024-01,Male,<15,20,0
AKS006,2024-01,Male,15-24,47,1
AKS006,2024-01,Male,25-34,61,3
AKS006,2024-01,Male,35-49,46,2
AKS006,2024-01,Male,50+,17,0
AKS006,2024-02,Female,<15,37,0
AKS006,2024-02,Female,15-24,106,2
AKS006,2024-02,Female,25-34,88,
AKS006,2024-02,Female,35-49,73,3
AKS006,2024-02,Female,50+,34,0
AKS006,2024-02,Male,0-14,24,0
AKS006,2024-02,Male,15-24,71,1
AKS006,2024-02,Male,25-34,73,3
AKS006,2024-02,Male,35-49,52,2
AKS006,2024-02,Male,50+,25,0
AKS006,2024-03,Female,<15,33,0
AKS006,2024-03,Female,15-24,74,1
AKS006,2024-03,female,25-34,97,3
AKS006,2024-03,Female,35-49,55,2
AKS006,2024-03,Female,50+,29,0
AKS006,2024-03,Male,<15,22,0
AKS006,2024-03,Male,15-24,54,1
AKS006,2024-03,Male,25-34,59,2
AKS006,2024-03,Male,35-49,48,1
AKS006,2024-03,Male,50+,24,0
AKS006,2024-04,Female,<15,32,0
AKS006,2024-04,F,15-24,108,2
AKS006,2024-04,Female,25-34,99,5
AKS006,2024-04,Female,35-49,88,4
AKS006,2024-04,Female,50+,35,0
AKS006,2024-04,Male,<15,28,0
AKS006,2024-04,Male,15-24,71,1
AKS006,2024-04,Male,25-34,78,4
AKS006,2024-04,Male,35-49,62,3
AKS006,2024-04,Male,50+,23,0
AKS006,2024-05,Female,<15,30,0
AKS006,2024-05,Female,15-24,86,1
AKS006,2024-05,F,25-34,79,3
AKS006,2024-05,Female,35-49,61,2
AKS006,2024-05,Female,50+,32,0
AKS006,2024-05,Male,<15,21,0
AKS006,2024-05,Male,15 - 24,51,0
AKS006,2024-05,Male,25-34,67,2
AKS006,2024-05,Male,35-49,51,2
AKS006,2024-05,Male,50+,19,0
AKS006,2024-06,Female,<15,34,0
AKS006,2024-06,Female,15-24,102,2
AKS006,2024-06,Female,25-34,112,5
AKS006,2024-06,Female,35-49,78,3
AKS006,2024-06,Female,50+,32,0
AKS006,2024-06,Male,<15,24,0
AKS006,2024-06,Male,15-24,69,1
AKS006,2024-06,Male,25-34,86,3
AKS006,2024-06,Male,35-49,56,2
AKS006,2024-06,Male,50+,23,0
AKS006,2024-07,F,<15,42,0
AKS006,2024-07,Female,15-24,95,1
AKS006,2024-07,Female,25-34,113,3
AKS006,2024-07,Female,35-49,87,2
AKS006,2024-07,F,50+,44,0
AKS006,2024-07,Male,<15,29,0
AKS006,2024-07,Male,15-24,75,1
AKS006,2024-07,M,25-34,87,2
AKS006,2024-07,Male,35-49,55,1
AKS006,2024-07,Male,50+,30,0
AKS006,2024-08,Female,<15,33,0
AKS006,2024-08,Female,15-24,105,N/A
AKS006,2024-08,Female,25-34,98,4
AKS006,2024-08,Female,35-49,76,3
AKS006,2024-08,Female,50+,38,0
AKS006,2024-08,male,<15,25,0
AKS006,2024-08,Male,15-24,66,1
AKS006,2024-08,Male,25-34,87,3
AKS006,2024-08,Male,35-49,50,2
