facility_id,facility_name,state,lga,report_month,hts_tst,hts_tst_pos,tx_new,tx_curr,tx_ml,pmtct_stat,pmtct_stat_pos,pmtct_art,tb_screen,tb_pos,vl_eligible,vl_result_received,vl_suppressed,date_submitted,reported_by
NAS010,Teaching Hospital Nasarawa II,Nasarawa,Nasarawa,2024-01-31,1764,83,77,5265,19,225,10,7,4767,86,4608,2632,2328,2024-02-11,M&E Officer
AKS008,PRIMARY HEALTH CENTRE UYO II,Akwa Ibom,Uyo,2024-12-31,81,2,1,95,0,17,0,0,55,1,68,45,43,2025-01-15,Facility Focal Person
LAG005,Mission Hospital Agege,Lagos,Agege,2022-10-31,1124,30,24,1580,13,220,1,0,1493,32,1398,1300,1182,2022-11-11,M&E Officer
BEN012,Cottage Hospital Vandeikya II,Benue,Vandeikya,2024-09-30,561,7,5,456,9,175,0,0,313,6,347,286,259,2024-10-18,Facility Focal Person
CRS006,Primary Health Centre Calabar Municipal II,Cross-River,Calabar Municipal,2023-02-28,527,23,21,1303,13,112,2,1,878,17,1049,650,563,2023-03-16,Data Clerk
AKS004,Comprehensive Health Centre Etinan,AKWA IBOM,Etinan,28/02/2022,147,6,5,1012,11,17,0,0,884,18,754,606,631,2022-03-13,M&E Officer
BEN011,Model Primary Health Centre Katsina-Ala II,Benue,Katsina-Ala,2023-07-31,267,9,6,346,6,66,2,1,249,7,292,274,241,2023-08-11,M&E Officer
aks011,Comprehensive Health Centre Etinan II,Akwa Ibom,Etinan,Dec-2022,109,6,4,3040,3,27,3,2,245,5,213,149,133,2023-01-21,M&E Officer
CRS009,Comprehensive Health Centre Obudu II,Cross River,Obudu,2023-04-30,533,22,17,8280,11,127,4,3,541,9,678,411,379,2023-05-18,M&E Officer
AKS008,Primary Health Centre Uyo II,Akwa Ibom,Uyo,2022-01-31,77,0,0,83,0,17,0,0,72,1,57,35,29,2022-02-15,Facility Focal Person
FCT008,Teaching Hospital Gwagwalada II,Federal Capital Territory,Gwagwalada,2022-08-31,840,50,46,5303,80,221,6,5,3927,77,4651,4053,3350,2022-09-21,Facility Focal Person
BEN013,Model Primary Health Centre Makurdi II,Benue,Makurdi,2022-03-31,490,13,12,304,2,134,2,1,173,6,211,136,122,2022-04-16,Data Clerk
FCT011,  COTTAGE HOSPITAL AMAC II ,FCT,AMAC,2023-05-31,409,14,13,2183,6,116,2,1,1868,25,2007,1647,1492,2023-06-13,Facility Focal Person
KAD007,Model Primary Health Centre Kaduna South II,Kaduna,Kaduna South,2024-06-30,293,14,10,"1,114",19,70,1,0,1007,24,1003,627,578,2024-07-16,M&E Officer
CRS015,Model Primary Health Centre Akamkpa II,cross river,Akamkpa,2023-09-30,97,0,0,521,8,26,0,0,392,6,448,352,307,2023-10-15,Data Clerk
FCT011,  Cottage Hospital AMAC II ,FCT,AMAC,2022-03-31,308,10,7,2362,23,74,3,2,1369,21,1959,1797,1594,2022-04-11,M&E Officer
RIV003,Comprehensive Health Centre Khana,Rivers,Khana,2023-02-28,205,11,8,1026,15,28,1,0,968,12,895,709,671,2023-03-13,M&E Officer
RIV006,Cottage Hospital Eleme,Rivers,Eleme,2022-01-31,893,49,38,2262,37,191,6,5,2004,45,1948,1812,1508,2022-02-11,Facility Focal Person
FCT007,Specialist Hospital Bwari II,FCT,Bwari,2022-03-31,1552,32,27,4570,47,292,3,2,3240,59,4159,2719,2435,2022-04-13,M&E Officer
LAG003,  Teaching Hospital Badagry ,Lagos,Badagry,31/03/2024,3384,3407,123,6685,106,477,9,7,5705,92,5388,4374,4226,2024-04-21,Facility Focal Person
NAS007,General Hospital Karu II,Nasarawa,Karu,2024-04-30,761,8,7,2110,18,144,1,0,1830,28,1735,1273,1113,2024-05-11,M&E Officer
CRS014,  Comprehensive Health Centre Obudu II ,Cross River,Obudu,Dec-2024,387,6,4,211,0,90,0,0,139,3,148,89,  ,2025-02-15,M&E Officer
LAG011,Cottage Hospital Agege II,Lagos,Agege,2022-08-31,681,2,1,1788,14,190,4,3,1608,22,1273,1105,1020,2022-09-16,Facility Focal Person
KAD010,Cottage Hospital Chikun II,Kaduna,Chikun,2023-08-31,246,9,7,968,6,52,0,0,914,21,890,631,530,2023-09-13,Facility Focal Person
FCT011,Cottage Hospital AMAC II,FCT,AMAC,2024-04-30,459,13,12,2050,23,56,2,1,1540,36,1773,1416,1291,2024-05-11,Facility Focal Person
NAS003,  COTTAGE HOSPITAL KEFFI ,Nasarawa,Keffi,2022-05-31,265,1,0,"1,878",14,79,0,0,1202,24,1374,1104,1036,2022-06-13,Facility Focal Person
BEN015,Primary Health Centre Otukpo II,Benue,Otukpo,2024-09-30,170,6,4,723,9,38,0,0,666,16,522,316,289,2024-10-13,Facility Focal Person
KAD004,Specialist Hospital Sabon Gari,Kaduna,Sabon Gari,30/06/2023,3433,134,114,4666,46,883,21,17,3161,62,3226,2630,2403,2023-07-13,M&E Officer
RIV002,TEACHING HOSPITAL OBIO/AKPOR,RIVERS,Obio/Akpor,2023-12-31,1558,29,28,4389,58,386,5,3,3433,60,4072,2665,2228,2024-01-15,M&E Officer
RIV010,Teaching Hospital Ahoada East II,Rivers,Ahoada East,2022-06-30,756,11,-27,3307,24,174,4,3,2272,48,3052,2439,2092,2022-07-21,M&E Officer
NAS013,General Hospital Keffi II,Nasarawa,Keffi,31/01/2024,556,26,20,1647,4,131,4,3,1262,25,1296,1150,1020,2024-02-15,Data Clerk
LAG099,General Hospital Chikun II,Kaduna,Chikun,2024-05-31,361,11,10,1573,28,89,2,1,950,20,1235,1100,1006,2024-06-13,Facility Focal Person
NAS010,Teaching Hospital Nasarawa II,Nasarawa,Nasarawa,2022-12-31,1729,92,77,4742,42,175,7,6,4148,71,3930,3193,2915,2023-01-15,Facility Focal Person
crs003,Specialist Hospital Ogoja,Cross River,Ogoja,28/02/2022,998,34,24,5627,20,289,3,2,5115,95,4289,3445,2887,2022-03-15,Facility Focal Person
RIV014,Cottage Hospital Obio/Akpor II,Rivers,Obio/Akpor,2024-03-31,1017,7,6,667,1,223,1,0,487,10,595,484,397,2024-04-16,M&E Officer
AKS014,  Primary Health Centre Ikono II ,Akwa Ibom,Ikono,2023-07-31,287,17,15,617,9,54,1,0,489,9,458,314,307,2023-08-15,M&E Officer
LAG004,Comprehensive Health Centre Surulere,Lagos,Surulere,2023-09-30,606,8,6,629,2,146,2,1,532,8,461,372,340,2023-10-13,Data Clerk
CRS001,Model Primary Health Centre Calabar Municipal,Cross River,Calabar Municipal,2024-07-31,224,5,3,688,9,62,5,3,405,4,599,449,397,2024-08-18,Data Clerk
CRS014,Comprehensive Health Centre Obudu II,Cross River,Obudu,2023-01-31,199,6,4,122,1,24,0,0,84,2,104,86,81,2023-02-16,Facility Focal Person
BEN002,Specialist Hospital Gboko,Benue,Gboko,2024-10-31,2790,64,60,4434,43,519,3,2,3204,61,3042,2104,1797,2024-11-29,M&E Officer
KAD007,  Model Primary Health Centre Kaduna South II ,Kaduna,Kaduna South,2023-09-30,255,10,9,1132,8,65,2,1,780,13,796,735,648,2023-10-13,Facility Focal Person
NAS007,General Hospital Karu II,Nasarawa,Karu,2022-01-31,323,0,0,2722,51,80,0,0,2018,34,2439,1564,1496,2022-02-21,Facility Focal Person
NAS007,General Hospital Karu II,Nasarawa,Karu,2023-11-30,751,3,2,2196,28,125,2,1,1980,36,  ,1525,1490,2023-12-11,M&E Officer
AKS009,Primary Health Centre Ikot Ekpene II,Akwa Ibom,Ikot Ekpene,2022-09-30,59,2,1,233,1,18,0,0,141,2,167,118,108,2022-10-18,M&E Officer
crs009,COMPREHENSIVE HEALTH CENTRE OBUDU II,Cross River,Obudu,2022-01-31,537,15,11,680,2,79,1,0,633,16,595,543,-,2022-02-15,Data Clerk
AKS001,Comprehensive Health Centre Uyo,Akwa Ibom,Uyo,2023-06-30,861,9,8,321,3,141,0,0,183,7,226,131,125,2023-07-11,M&E Officer
BEN009,  Primary Health Centre Otukpo II ,Benue,Otukpo,30/11/2024,201,2,1,426,8,49,0,0,284,4,368,330,284,2024-12-13,Data Clerk
KAD002,Teaching Hospital Kaduna South,Kaduna,Kaduna South,2023-11-30,1109,19,16,3820,69,291,2,1,2341,36,3246,2916,2650,2023-12-21,Facility Focal Person
CRS001,MODEL PRIMARY HEALTH CENTRE CALABAR MUNICIPAL,Cross River,Calabar Municipal,2024-08-31,227,9,8,692,4,45,4,3,440,4,570,483,444,2024-09-18,Data Clerk
BEN009,Primary Health Centre Otukpo II,Benue,Otukpo,31/05/2024,315,2,1,434,3,83,1,0,336,7,333,197,188,2024-06-15,Data Clerk
LAG003,Teaching Hospital Badagry,Lagos,Badagry,2022-10-31,2180,90,75,6262,30,434,6,4,5100,100,4551,3450,3119,2022-11-13,M&E Officer
CRS012,Model Primary Health Centre Ikom II,Cross River,Ikom,2022-04-30,258,4,3,830,15,39,0,0,575,9,755,648,629,2022-05-11,Facility Focal Person
FCT004,Model Primary Health Centre Kuje,FCT,Kuje,2024-03-31,405,18,15,1262,7,62,1,0,920,10,1101,739,774,2024-04-18,Facility Focal Person
NAS011,Mission Hospital Lafia II,Nasarawa,Lafia,30/11/2022,1178,12,9,2702,23,NULL,2,1,2456,36,2127,1841,1593,2022-12-18,Facility Focal Person
RIV005,Mission Hospital Degema,Rivers,Degema,2022-10-31,128,3,2,1478,7,39,1,0,1090,20,1304,1082,1018,2022-11-13,M&E Officer
KAD012,Comprehensive Health Centre Kaduna South II,Kaduna,Kaduna South,2022-05-31,518,12,8,656,12,98,2,1,609,11,534,374,306,2022-06-18,Data Clerk
BEN002,SPECIALIST HOSPITAL GBOKO,Benue,Gboko,Feb-2022,1540,32,26,5025,17,343,5,4,4601,77,3669,3369,2972,2022-03-13,M&E Officer
FCT014,General Hospital Kuje II,Federal Capital Territory,Kuje,Jan-2024,970,29,23,2510,16,111,0,0,1521,18,2295,1977,1785,2024-02-11,Data Clerk
nas014,Teaching Hospital Akwanga II,Nasarawa,Akwanga,2024-10-31,2297,74,73,5128,27,719,13,10,2918 ,56,4266,3521,3291,2024-11-11,Data Clerk
AKS005,Comprehensive Health Centre Oron,Akwa Ibom,Oron,2022-08-31,132,3,2,1252,20,38,0,0,731,10,969,770,681,2022-10-16,Data Clerk
FCT011,Cottage Hospital AMAC II,Federal Capital Territory,AMAC,2024-06-30,4000,10,9,2029,13,87,2,1,1853 ,25,nil,1304,1093,2024-07-16,Facility Focal Person
RIV011,Model Primary Health Centre Degema II,Rivers,Degema,2022-10-31,318,9,8,872,10,82,1,0,583,11,662,467,383,2022-11-22,Facility Focal Person
CRS014,Comprehensive Health Centre Obudu II,Cross River,Obudu,30/11/2024,314,6,5,207,2,43,1,0,163,3,184,158,141,2024-12-21,Facility Focal Person
NAS012,Mission Hospital Karu II,Nasarawa,Karu,28/02/2023,672,25,22,1323,23,119,2,1,836,8,1147,708,617,2023-03-13,Facility Focal Person
FCT006,Mission Hospital AMAC II,FCT,AMAC,2022-03-31,708,26,23,2346,9,117,2,1,2029,39,2027,1826,1503,2022-04-11,Data Clerk
LAG012,PRIMARY HEALTH CENTRE ALIMOSHO II,Lagos,Alimosho,2022-07-31,271,16,11,628,3,31,2,1,564,14,496,455,439,2022-08-11,Facility Focal Person
BEN014,  Comprehensive Health Centre Gboko II ,Benue,Gboko,2024-12-31,630,8,-,740,11,138,0,0,534,11,590,416,347,2025-01-13,Facility Focal Person
CRS007,Model Primary Health Centre Ikom II,Cross River,Ikom,2023-02-28,109,6,4,308,4,33,1,0,236 ,6,232,133,123,2023-03-15,Facility Focal Person
CRS009,Comprehensive Health Centre Obudu II,Cross River,Obudu,2023-09-30,676,21,16,880,10,145,0,0,714,9,712,620,580,2023-10-15,Facility Focal Person
LAG008,Cottage Hospital Lagos Island II,Lagos,Lagos Island,2022-02-28,111,4,3,896,2,26,1,0,818,21,661,611,559,2022-03-11,Data Clerk
kad005,Cottage Hospital Chikun,Kaduna,Chikun,2024-10-31,696,13,12,409,5,216,1,0,330,12,342,244,204,2024-11-11,M&E Officer
kad002,Teaching Hospital Kaduna South,Kaduna,Kaduna South,2024-10-31,1242,14,13,3517,36,164,3,2,3105,56,2895,2258,1880,2024-11-15,M&E Officer
FCT005,Primary Health Centre Abaji,FCT,Abaji,28/02/2023,403,443,9,508,8,64,0,0,349,6,468,406,385,2023-03-13,Facility Focal Person
RIV010,Teaching Hospital Ahoada East II,Rivers,Ahoada East,30/04/2023,807,16,12,3117,63,109,2,1,2359,43,2895,2449,2063,2023-05-13,Facility Focal Person
NAS011,Mission Hospital Lafia II,Nasarawa,Lafia,2022-04-30,785,10,9,"2,781",30,78,0,0,2014,41,2501,1921,1866,2022-05-13,Facility Focal Person
NAS003,Cottage Hospital Keffi,Nasarawa,Keffi,Mar-2024,351,6,4,1530,17,72,96,0,1232,19,1156,802,658,2024-04-18,M&E Officer
BEN011,Model Primary Health Centre Katsina-Ala II,Benue,Katsina-Ala,2023-09-30,243,8,7,349,5,73,2,1,270,6,297,195,168,2023-10-11,Facility Focal Person
BEN007,SPECIALIST HOSPITAL MAKURDI II,Benue,Makurdi,Dec-2023,227,5,4,1945,39,56,0,0,1276,20,1690,1297,1207,2024-01-13,Data Clerk
CRS003,Specialist Hospital Ogoja,Cross River,Ogoja,2023-01-31,1182,46,40,5404,28,232,8,7,3872,76,4105,2285,2182,2023-02-21,M&E Officer
AKS004,Comprehensive Health Centre Etinan,Akwa Ibom,Etinan,2023-01-31,153,5,4,963,2,46,2,1,704,12,840,772,654,2023-02-11,Facility Focal Person
FCT004,MODEL PRIMARY HEALTH CENTRE KUJE,FCT,Kuje,2024-08-31,435,13,11,1240,17,90,2,1,789,15,1067,1003,876,2024-09-18,Facility Focal Person
KAD014,GENERAL HOSPITAL SABON GARI II,Kaduna,Sabon Gari,2022-06-30,197,3,2,2723,47,25,3,2,1562,27,2285,1995,1808,2022-07-15,M&E Officer
RIV006,Cottage Hospital Eleme,Rivers,Eleme,2024-08-31,1217,83,70,2873,15,  ,8,7,2100,48,2631,2452,2366,2024-09-18,Facility Focal Person
AKS003,Model Primary Health Centre Eket,Akwa Ibom,Eket,28/02/2023,547,10,9,241,4,75,0,0,164,1,218,165,140,2023-03-24,Facility Focal Person
AKS002,General Hospital Ikot Ekpene,Akwa Ibom,Ikot Ekpene,2023-04-30,200,5,4,625,9,20,0,0,565,11,445,418,361,2023-05-18,Data Clerk
NAS005,  Mission Hospital Nasarawa ,Nasarawa,Nasarawa,2023-04-30,1200,27,21,441,4,307,5,4,263,5,311,276,250,2023-05-16,Facility Focal Person
BEN011,Model Primary Health Centre Katsina-Ala II,Benue,Katsina-Ala,2023-01-31,170,3,2,331,2,45,1,0,244,7,248,217,196,2023-03-18,M&E Officer
FCT010,Model Primary Health Centre Abaji II,fct,Abaji,2022-04-30,506,8,7,268,3,146,3,2,182,5,226,145,130,2022-05-18,Facility Focal Person
AKS012,Cottage Hospital Oron II,Akwa Ibom,Oron,2023-07-31,1190,41,36,921,12,319,8,7,-,14,822,512,486,2023-08-16,Facility Focal Person
AKS005,Comprehensive Health Centre Oron,Akwa Ibom,Oron,2024-12-31,126,1,0,922,15,25,0,0,786,21,845,487,446,2025-01-18,M&E Officer
LAG009,MISSION HOSPITAL BADAGRY II,Lagos,Badagry,30/06/2022,349,8,6,2757,35,97,0,0,1543,16,2151,1727,1492,2022-07-16,Facility Focal Person
LAG015,Model Primary Health Centre Badagry II,Lagos,Badagry,31/08/2022,222,10,7,1133,8,47,1,0,999,17,NULL,686,607,2022-09-21,Data Clerk
LAG005,  Mission Hospital Agege ,Lagos,Agege,31/08/2022,1102,37,32,1561,10,325,7,6,894,22,1360,859,813,2022-09-16,Facility Focal Person
CRS009,Comprehensive Health Centre Obudu II,Cross River,Obudu,2022-09-30,585,27,24,776,5,77,2,1,488,12,691,636,579,2022-10-29,M&E Officer
AKS009,Primary Health Centre Ikot Ekpene II,Akwa Ibom,Ikot Ekpene,2022-03-31,69,4,3,244,1,18,0,0,152,2,179,169,139,2022-04-11,M&E Officer
LAG014,COTTAGE HOSPITAL LAGOS ISLAND II,Lagos,Lagos Island,Dec-2022,604,6,4,1882,7,99,0,0,1364,22,1472,1033,958,2023-01-15,Facility Focal Person
AKS009,Primary Health Centre Ikot Ekpene II,Akwa-Ibom,Ikot Ekpene,2024-07-31,109,6,-39,232,3,27,1,0,137,2,190,145,135,2024-08-21,Data Clerk
RIV014,Cottage Hospital Obio/Akpor II,Rivers,Obio/Akpor,30/06/2023,1064,1085,nil,631,10,193,2,1,383,8,437,288,265,2023-07-11,M&E Officer
LAG014,Cottage Hospital Lagos Island II,Lagos,Lagos Island,2024-10-31,797,14,13,1596,15,169,1,0,1119,18,1225,1077,903,2024-11-11,Data Clerk
RIV006,Cottage Hospital Eleme,Rivers,Eleme,31/12/2022,1080,60,58,2536,10,182,4,3,1428,26,1802,1111,982,2023-01-13,M&E Officer
FCT001,Mission Hospital AMAC,FCT,AMAC,2023-01-31,833,nil,5,1287,16,158,3,2,927,18,931,543,521,2023-02-15,Facility Focal Person
NAS014,Teaching Hospital Akwanga II,Nasarawa,Akwanga,2022-11-30,2062,38,31,4833,12,453,5,4,3954,76,3681,3157,2937,2023-01-15,M&E Officer
RIV002,Teaching Hospital Obio/Akpor,rivers ,Obio/Akpor,Feb-2023,1452,21,18,4740,24,220,5,4,3561,69,4050,2764,2633,2023-03-29,Facility Focal Person
BEN015,Primary Health Centre Otukpo II,Benue,Otukpo,2023-11-30,112,7,5,752,11,18,0,0,664,7,607,403,350,2023-12-16,M&E Officer
FCT003,Specialist Hospital Gwagwalada,FCT,Gwagwalada,31/01/2022,231,2,1,6713,61,53,0,0,5530,95,4864,4079,3723,2022-02-18,Data Clerk
NAS006,Primary Health Centre Lafia II,Nasarawa,Lafia,2022-06-30,249,4,3,1016,19,59,2,1,878,20,912,794,739,2022-07-16,Data Clerk
LAG007,  Primary Health Centre Ikorodu II ,Lagos,Ikorodu,2023-03-31,404,12,9,480,1,123,4,3,269,6,330,235,194,2023-04-11,Facility Focal Person
KAD001,Model Primary Health Centre Kaduna North,Kaduna,Kaduna North,30/11/2023,188,8,7,760,2,31,2,1,602 ,10,662,609,577,2023-12-13,M&E Officer
FCT005,Primary Health Centre Abaji,FCT,Abaji,2022-08-31,526,16,14,507,8,142,1,0,447,10,395,225,200,2022-09-15,M&E Officer
RIV008,Teaching Hospital Obio/Akpor II,Rivers,Obio/Akpor,2022-11-30,1380,54,53,3998,14,432,10,9,2661,42,3333,2253,1904,2022-12-29,M&E Officer
nas003,Cottage Hospital Keffi,Nasarawa,Keffi,2023-12-31,238,1,0,1584,6,46,0,0,1366,25,1272,1177,976,2024-01-16,M&E Officer
LAG002,Specialist Hospital Lagos Island,Lagos,Lagos Island,2024-09-30,2252,119,101,6143,63,499,15,13,5213,83,5620,3862,3653,2024-10-18,Facility Focal Person
NAS009,Cottage Hospital Akwanga II,Nasarawa,Akwanga,2024-08-31,1505,16,13,490,3,475,3,2,366,6,372,353,325,2024-08-18,Data Clerk
LAG005,Mission Hospital Agege,Lagos,Agege,2022-11-30,840,28,25,1597,8,163,2,1,1465,25,1143,879,775,2022-12-15,M&E Officer
BEN012,Cottage Hospital Vandeikya II,Benue,Vandeikya,31/03/2022,NULL,1,0,485,3,108,0,0,322,6,431,262,243,2022-04-15,Data Clerk
NAS010,Teaching Hospital Nasarawa II,Nasarawa,Nasarawa,2022-06-30,2471,93,80,4601,13,391,5,4,2576,41,,1952,1725,2022-07-11,Facility Focal Person
LAG014,Cottage Hospital Lagos Island II,Lagos,Lagos Island,Mar-2022,599,8,7,"2,059",34,71,0,0,1258,17,1529,866,806,2022-04-13,M&E Officer
CRS013,Mission Hospital Ogoja II,Cross River,Ogoja,2023-05-31,278,3,2,802,5,69,1,0,515,9,639,,364,2023-06-18,Data Clerk
LAG099,  Specialist Hospital Alimosho ,Lagos,Alimosho,2023-05-31,1093,23,22,4987,36,229,1,0,3326,51,3948,2653,2591,2023-06-16,Facility Focal Person
KAD013,SPECIALIST HOSPITAL ZARIA II,Kaduna,Zaria,2023-03-31,1677,71,69,2213,37,498,14,11,1984,33,1707,1167,1094,2023-04-21,M&E Officer
RIV004,Model Primary Health Centre Ahoada East,rivers ,Ahoada East,2023-09-30,459,12,10,850,13,56,0,0,701,11,779,559,490,2023-10-11,Facility Focal Person
riv013,MISSION HOSPITAL PORT HARCOURT II,Rivers,Port Harcourt,2023-07-31,678,18,16,2171,22,155,2,1,1694,36,1927,1772,1519,2023-09-15,Facility Focal Person
AKS015,Mission Hospital Uyo II,Akwa Ibom,Uyo,2024-03-31,682,34,24,2435,16,212,8,7,1988,41,2244,1676,1501,2024-04-15,M&E Officer
AKS009,Primary Health Centre Ikot Ekpene II,Akwa Ibom,Ikot Ekpene,30/09/2023,103,4,3,223,2,11,0,0,143,1,178,160,145,2023-10-13,Facility Focal Person
AKS008,Primary Health Centre Uyo II,Akwa Ibom,Uyo,2023-11-30,69,1,0,84,1,10,0,0,61,2,69,57,48,2023-12-13,Facility Focal Person
RIV014,Cottage Hospital Obio/Akpor II,rivers ,Obio/Akpor,2024-07-31,1119,2,1,662,1,116,1,0,526,12,612,367,348,2024-08-13,Facility Focal Person
BEN003,General Hospital Otukpo,Benue,Otukpo,30/11/2022,503,18,17,"2,521",27,138,1,0,2300,50,2308,2024,1768,2022-12-11,Data Clerk
LAG099,Model Primary Health Centre Kaduna North,Kaduna,Kaduna North,2023-04-30,251,14,12,771,6,30,0,0,662,9,666,606,516,2023-05-22,M&E Officer
NAS004,COTTAGE HOSPITAL AKWANGA,Nasarawa,Akwanga,2023-11-30,337,23,21,523,7,55,1,0,461,8,462,344,325,2023-12-15,Facility Focal Person
CRS014,Comprehensive Health Centre Obudu II,Cross River,Obudu,2022-10-31,314,8,7,112,1,81,2,1,101,4,N/A,63,57,2022-11-18,Data Clerk
LAG010,Primary Health Centre Surulere II,Lagos,Surulere,2024-04-30,529,16,12,957,14,99,5,4,536,5,878,571,507,2024-05-15,Data Clerk
LAG003,Teaching Hospital Badagry,Lagos,Badagry,30/06/2024,4346,142,127,6774,55,774,13,12,6084,103,6042,4183,3649,2024-07-29,Data Clerk
NAS005,Mission Hospital Nasarawa,Nasarawa,Nasarawa,2024-07-31,1574,45,35,785,4,306,5,3,526,5,548,405,364,2024-08-13,M&E Officer
NAS007,General Hospital Karu II,Nasarawa,Karu,2023-07-31,941,13,10,2249,27,141,0,0,1748,28,1985,1885,1829,2023-08-21,Data Clerk
FCT015,COMPREHENSIVE HEALTH CENTRE ABAJI II,FCT,Abaji,2022-10-31,89,6,4,841,15,20,0,0,662,15,749,442,422,2022-11-11,M&E Officer
LAG015,Model Primary Health Centre Badagry II,Lagos,Badagry,2022-12-31,147,4,2,1106,19,33,0,0,785,17,927,534,443,2023-01-16,Facility Focal Person
BEN012,Cottage Hospital Vandeikya II,Benue,Vandeikya,Aug-2024,572,615,1,460,1,127,1,0,316,6,328,286,254,2024-09-16,M&E Officer
LAG009,Mission Hospital Badagry II,Lagos,Badagry,2022-04-30,473,16,15,2822,55,104,3,2,1973,35,2481,1582,1533,2022-05-15,Facility Focal Person
AKS013,Model Primary Health Centre Abak II,Akwa-Ibom,Abak,2024-08-31,453,9,7,680,3,123,4,3,432,9,539,492,435,2024-09-11,Data Clerk
AKS005,Comprehensive Health Centre Oron,Akwa Ibom,Oron,2024-08-31,157,1,0,974,5,36,1,0,542,6,715,595,495,2024-09-11,Data Clerk
CRS009,Comprehensive Health Centre Obudu II,Cross River,Obudu,Sep-2024,538,16,12,955,15,111,4,3,863,20,741,543,519,2024-10-15,M&E Officer
CRS011,Comprehensive Health Centre Calabar Municipal II,Cross River,Calabar Municipal,2024-04-30,396,9,6,486,8,80,2,1,444,9,394,335,303,2024-05-29,Facility Focal Person
CRS010,Comprehensive Health Centre Akamkpa II,cross river,Akamkpa,2024-03-31,67,0,0,359,1,13,1,0,204,3,267,175,166,2024-04-21,Facility Focal Person
BEN008,Teaching Hospital Gboko II,Benue,Gboko,2022-03-31,2391,47,36,6279,34,455,5,4,4481,85,4874,NULL,2616,2022-04-15,Facility Focal Person
RIV011,Model Primary Health Centre Degema II,rivers ,Degema,2023-01-31,257,16,15,875,12,41,0,0,711,10,708,446,382,2023-02-11,Data Clerk
FCT001,Mission Hospital AMAC,FCT,AMAC,2023-03-31,706,6,5,1280,8,149,0,0,991,17,1081,937,854,2023-04-15,Facility Focal Person
CRS009,  Comprehensive Health Centre Obudu II ,Cross River,Obudu,2022-11-30,455,17,11,797,1,63,0,0,722,14,609,565,536,2022-12-18,M&E Officer
